className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Renderers/src/artofillusion/raster/Raster.java,2005,2676,650,29,"Raster.renderTriangleHybrid(Vec2,float,Vec3,Vec3,double,double,RGBColor,Vec2,float,Vec3,Vec3,double,double,RGBColor,Vec2,float,Vec3,Vec3,double,double,RGBColor,RenderingTriangle,Vec3,Vec3,double,double,boolean,ObjectMaterialInfo,RasterContext)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Renderers/src/artofillusion/raster/Raster.java,1272,1916,623,24,"Raster.renderTriangleGouraud(Vec2,float,double,double,RGBColor,RGBColor,Vec2,float,double,double,RGBColor,RGBColor,Vec2,float,double,double,RGBColor,RGBColor,RenderingTriangle,double,double,boolean,ObjectMaterialInfo,RasterContext)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Renderers/src/artofillusion/raster/Raster.java,2745,3319,553,26,"Raster.renderTrianglePhong(Vec2,float,Vec3,Vec3,double,double,Vec2,float,Vec3,Vec3,double,double,Vec2,float,Vec3,Vec3,double,double,RenderingTriangle,Vec3,Vec3,double,boolean,boolean,ObjectMaterialInfo,RasterContext)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,ArtOfIllusion/src/artofillusion/object/CSGModeller.java,613,1096,442,10,"CSGModeller.splitOneFace(Vector,Vector,int,int[],double[],double[],int[],int,Vec3,Vec3)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,ArtOfIllusion/src/artofillusion/view/SoftwareCanvasDrawer.java,1208,1573,364,12,"SoftwareCanvasDrawer.renderSmoothTriangle(Vec2,double,Vec2,double,Vec2,double,int,int,double,RGBColor,RGBColor,RGBColor)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,ArtOfIllusion/src/artofillusion/view/SoftwareCanvasDrawer.java,897,1204,306,11,"SoftwareCanvasDrawer.renderFlatTriangle(Vec2,double,Vec2,double,Vec2,double,int,int,double,int,RGBColor)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,ArtOfIllusion/src/artofillusion/object/TriangleMesh.java,2273,2617,304,11,"TriangleMesh.doSubdivide(TriangleMesh,Vertex[],Edge[],Face[],boolean[],Vertex[],Edge[],Face[],double[][][],double[][][],int[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Renderers/src/artofillusion/raytracer/Raytracer.java,1608,1931,284,12,"Raytracer.spawnRay(RaytracerContext,int,OctreeNode,RTObject,MaterialMapping,MaterialMapping,Mat4,Mat4,int,double,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Renderers/src/artofillusion/raytracer/PhotonMap.java,235,484,211,12,"PhotonMap.tracePhoton(Ray,RGBColor,int,OctreeNode,RTObject,MaterialMapping,MaterialMapping,Mat4,Mat4,double,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Translators/src/artofillusion/translators/VRMLExporter.java,212,439,206,8,"VRMLExporter.writeObject(ObjectInfo,ObjectInfo,PrintWriter,double,boolean,int,Scene,TextureImageExporter)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Translators/src/artofillusion/translators/OBJExporter.java,111,333,197,8,"OBJExporter.writeScene(Scene,PrintWriter,boolean,double,boolean,boolean,TextureImageExporter,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Renderers/src/artofillusion/raster/Raster.java,3362,3520,142,15,"Raster.renderDisplacedTriangle(RenderingTriangle,DisplacedVertex,double,DisplacedVertex,double,DisplacedVertex,double,Vec3,Vec3,Vec3,double,boolean,boolean,ObjectMaterialInfo,RasterContext)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Translators/src/artofillusion/translators/VRMLExporter.java,443,583,135,7,"VRMLExporter.writeMesh(FacetedMesh,ObjectInfo,PrintWriter,int,Scene,TextureImageExporter,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Renderers/src/artofillusion/raster/Raster.java,1038,1178,134,10,"Raster.clipTriangle(Vec3,Vec3,Vec3,float,float,float,float[],double[],double[],RasterContext)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Renderers/src/artofillusion/raytracer/Raytracer.java,2243,2393,124,11,"Raytracer.propagateRay(Ray,OctreeNode,double,MaterialMapping,MaterialMapping,Mat4,Mat4,RGBColor,RGBColor,int,double)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,ArtOfIllusion/src/artofillusion/view/SoftwareCanvasDrawer.java,773,893,114,15,"SoftwareCanvasDrawer.clipSmoothTriangle(Vec3,Vec3,Vec3,double,double,double,Camera,RGBColor,RGBColor,RGBColor,RGBColor,RGBColor,RGBColor,RGBColor,double[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Renderers/src/artofillusion/raytracer/PhotonMap.java,506,639,103,13,"PhotonMap.propagateRay(Ray,OctreeNode,RTObject,double,MaterialMapping,MaterialMapping,Mat4,Mat4,RGBColor,int,double,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Renderers/src/artofillusion/raytracer/Raytracer.java,2117,2222,101,11,"Raytracer.traceLightRay(Ray,Light,int,OctreeNode,OctreeNode,double,double,MaterialMapping,MaterialMapping,Mat4,Mat4)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,SPManager/src/artofillusion/spmanager/HttpSPMFileSystem.java,708,852,100,7,"HttpSPMFileSystem.downloadRemoteBinaryFile(URL,String,long,StatusDialog,long,long,ArrayList)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,ArtOfIllusion/src/artofillusion/SplineMeshEditorWindow.java,786,885,98,8,"SplineMeshEditorWindow.splitOneAxis(MeshVertex[][],MeshVertex[][],float[],float[],boolean[],double[][][],double[][][],boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,ArtOfIllusion/src/artofillusion/view/SoftwareCanvasDrawer.java,516,615,93,8,"SoftwareCanvasDrawer.clipTriangle(Vec3,Vec3,Vec3,double,double,double,Camera,double[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,ArtOfIllusion/src/artofillusion/math/PerlinNoise.java,174,260,85,7,"PerlinNoise.addWaveletGradient(Vec3,int,int,int,double,double,double)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,ArtOfIllusion/src/artofillusion/ScaleObjectTool.java,248,335,78,7,"ScaleObjectTool.findBorderPos(BoundingBox,Vec3,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Renderers/src/artofillusion/raster/Raster.java,889,975,76,9,"Raster.calcLight(Vec3,Vec3,Vec3,Vec3,double,RGBColor,RGBColor,RGBColor,RasterContext)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,Renderers/src/artofillusion/raytracer/Raytracer.java,1952,2041,73,14,"Raytracer.getDirectLight(RaytracerContext,Vec3,Vec3,boolean,Vec3,int,OctreeNode,int,double,MaterialMapping,MaterialMapping,Mat4,Mat4,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,ArtOfIllusion/src/artofillusion/texture/LayeredTriangle.java,49,122,72,7,"LayeredTriangle.getTextureSpec(TextureSpec,double,double,double,double,double,double)",False
