className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/ui/ProjectBrowser.java,1,1996,1213,1213,ProjectBrowser.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/ui/targetmanager/TargetManager.java,1,1048,556,556,TargetManager.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/kernel/ProjectSettings.java,1,1105,520,520,ProjectSettings.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-core-model/src/org/argouml/model/Facade.java,1,3631,404,404,Facade.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/uml/reveng/ImportCommon.java,1,679,370,370,ImportCommon.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/cognitive/Critic.java,1,1050,335,335,Critic.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/application/helpers/ResourceLoaderWrapper.java,1,513,329,329,ResourceLoaderWrapper.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/ocl/ArgoFacade.java,1,449,286,286,ArgoFacade.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/kernel/ProjectManager.java,1,599,281,281,ProjectManager.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/uml/StereotypeUtility.java,1,489,280,280,StereotypeUtility.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/kernel/ProfileConfiguration.java,1,476,241,241,ProfileConfiguration.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-core-model/src/org/argouml/model/Model.java,1,582,192,192,Model.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/cognitive/Agency.java,1,419,187,187,Agency.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/uml/DocumentationManager.java,1,331,176,176,DocumentationManager.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/i18n/Translator.java,1,383,169,169,Translator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-core-model/src/org/argouml/model/CoreHelper.java,1,1469,160,160,CoreHelper.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/uml/diagram/DiagramFactory.java,1,313,147,147,DiagramFactory.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-core-model/src/org/argouml/model/MetaTypes.java,1,710,147,147,MetaTypes.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/uml/cognitive/critics/CrReservedName.java,1,258,143,143,CrReservedName.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/uml/generator/AbstractSection.java,1,222,132,132,AbstractSection.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/uml/reveng/Setting.java,1,315,121,121,Setting.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/notation/NotationProviderFactory2.java,1,357,118,118,NotationProviderFactory2.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/uml/reveng/ImportClassLoader.java,1,292,115,115,ImportClassLoader.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/configuration/Configuration.java,1,449,113,113,Configuration.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-core-model/src/org/argouml/model/CoreFactory.java,1,906,113,113,CoreFactory.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/uml/generator/GeneratorManager.java,1,242,106,106,GeneratorManager.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/uml/generator/TempFileUtils.java,1,193,105,105,TempFileUtils.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/uml/cognitive/critics/CrUML.java,1,282,102,102,CrUML.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/kernel/Project.java,1,671,91,91,Project.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,argouml/src/argouml-app/src/org/argouml/util/SuffixFilter.java,1,160,66,66,SuffixFilter.java,False
