className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/axiondb/parser/TokenMgrError.java,130,132,3,7,"TokenMgrError.$constructor(boolean,int,int,int,String,char,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/axiondb/util/ObjectBTree.java,101,130,25,5,"ObjectBTree.$constructor(File,String,int,Comparator,ObjectBTree)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/axiondb/parser/AxionSqlParserTokenManager.java,1217,1228,11,5,"AxionSqlParserTokenManager.jjCanMove_0(int,int,int,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/axiondb/parser/TokenMgrError.java,97,103,7,6,"TokenMgrError.LexicalError(boolean,int,int,int,String,char)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/axiondb/util/BTree.java,118,123,6,5,"BTree.$constructor(File,String,int,BTree,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/axiondb/util/ObjectBTree.java,135,140,6,6,"ObjectBTree.$constructor(File,String,int,Comparator,ObjectBTree,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/axiondb/util/BTree.java,128,133,5,5,"BTree.$constructor(File,String,int,int,BTree)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/axiondb/util/ObjectBTree.java,145,149,5,6,"ObjectBTree.$constructor(File,String,int,int,Comparator,ObjectBTree)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/axiondb/engine/IntArrayIndex.java,64,67,4,5,"IntArrayIndex.$constructor(String,Column,boolean,IntList,IntList)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/axiondb/engine/ObjectArrayIndex.java,63,66,4,5,"ObjectArrayIndex.$constructor(String,Column,boolean,ArrayList,IntList)",False
