className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/aelitis/azureus/plugins/net/buddy/swt/BuddyPluginViewInstance.java,75,1394,910,910,"BuddyPluginViewInstance.$constructor(BuddyPlugin,UIInstance,Composite)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/aelitis/azureus/ui/swt/browser/listener/MetaSearchListener.java,243,1654,902,902,MetaSearchListener.handleMessage(BrowserMessage),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/ui/swt/TorrentUtil.java,91,1294,827,827,"TorrentUtil.fillTorrentMenu(Menu,DownloadManager[],AzureusCore,Composite,boolean,int,TableView)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/core3/tracker/server/impl/TRTrackerServerTorrentImpl.java,1075,2243,583,583,"TRTrackerServerTorrentImpl.exportAnnounceToMap(String,HashMap,TRTrackerServerPeerImpl,boolean,int,long,long,boolean,byte,byte,DHTNetworkPosition)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/core3/tracker/client/impl/bt/TRTrackerBTAnnouncerImpl.java,2300,3232,556,556,"TRTrackerBTAnnouncerImpl.decodeTrackerResponse(URL,byte[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/pluginsimpl/update/PluginUpdatePlugin.java,989,1921,527,527,"PluginUpdatePlugin.installUpdate(UpdateChecker,Update,PluginInterface,boolean,boolean,String,InputStream,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/ui/swt/views/columnsetup/TableColumnSetupWindow.java,111,733,493,493,"TableColumnSetupWindow.$constructor(Class,String,TableRow,TableStructureModificationListener)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/aelitis/azureus/core/dht/control/impl/DHTControlImpl.java,2011,2666,473,473,"DHTControlImpl.lookup(ThreadPool,boolean,byte[],String,byte,boolean,long,int,int,int,lookupResultHandler)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/core3/disk/impl/DiskManagerUtil.java,316,995,470,470,"DiskManagerUtil.getFileInfoSkeleton(DownloadManager,DiskManagerListener)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/ui/swt/views/configsections/ConfigSectionTrackerServer.java,79,772,462,462,ConfigSectionTrackerServer.configSectionCreate(Composite),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/core3/download/impl/DownloadManagerImpl.java,3565,4259,454,454,DownloadManagerImpl.getTrackerPeerSources(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/aelitis/azureus/ui/swt/devices/DeviceManagerUI.java,2137,2776,448,448,"DeviceManagerUI.setupEntry(deviceItem,Device,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/ui/webplugin/WebPlugin.java,205,898,447,447,WebPlugin.initialize(PluginInterface),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/aelitis/azureus/core/util/http/HTTPAuthHelper.java,524,1327,440,440,processor.process(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/core3/disk/impl/resume/RDResumeHandler.java,146,800,425,425,RDResumeHandler.checkAllPieces(boolean),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/aelitis/azureus/plugins/net/netstatus/swt/NetStatusPluginTester.java,74,736,423,423,NetStatusPluginTester.run(AzureusCore),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/bouncycastle/jce/provider/BouncyCastleProvider.java,40,587,423,423,BouncyCastleProvider.$constructor(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/ui/swt/views/configsections/ConfigSectionFile.java,75,625,422,422,ConfigSectionFile.configSectionCreate(Composite),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/aelitis/azureus/ui/swt/views/skin/sidebar/SideBar.java,321,851,419,419,SideBar.createSideBar(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/aelitis/azureus/core/devices/impl/DeviceOfflineDownloaderImpl.java,247,943,412,412,DeviceOfflineDownloaderImpl.updateDownloadsSupport(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/aelitis/azureus/core/download/StreamManager.java,291,927,411,411,SMDImpl.runSupport(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/ui/swt/pluginsimpl/BasicPluginConfigImpl.java,140,747,402,402,BasicPluginConfigImpl.configSectionCreate(Composite),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/gudy/azureus2/ui/swt/views/configsections/ConfigSectionTransfer.java,78,619,394,394,ConfigSectionTransfer.configSectionCreate(Composite),False
