className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,sources/org/apache/batik/dom/AbstractDocument.java,1274,1617,320,8,"AbstractDocument.normalizeDocument(Element,boolean,boolean,boolean,boolean,boolean,boolean,DOMErrorHandler)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,sources/org/apache/batik/ext/awt/image/codec/png/PNGRed.java,1485,1739,211,7,"PNGRed.processPixels(int,Raster,WritableRaster,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,sources/org/apache/batik/ext/awt/image/codec/png/PNGImageDecoder.java,1470,1722,209,7,"PNGImage.processPixels(int,Raster,WritableRaster,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,sources/org/apache/batik/bridge/svg12/SVGFlowRootElementBridge.java,626,827,176,7,"SVGFlowRootElementBridge.fillAttributedStringBuffer(BridgeContext,Element,boolean,Integer,Map,AttributedStringBuffer,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,sources/org/apache/batik/bridge/SVGGlyphElementBridge.java,77,327,174,7,"SVGGlyphElementBridge.createGlyph(BridgeContext,Element,Element,int,float,GVTFontFace,TextPaintInfo)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,sources/org/apache/batik/bridge/SVGTextElementBridge.java,872,1048,158,7,"SVGTextElementBridge.fillAttributedStringBuffer(BridgeContext,Element,boolean,TextPath,Integer,Map,AttributedStringBuffer)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,sources/org/apache/batik/extension/svg/BatikFlowTextElementBridge.java,517,687,147,7,"BatikFlowTextElementBridge.fillAttributedStringBuffer(BridgeContext,Element,boolean,Integer,Map,AttributedStringBuffer,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,sources/org/apache/batik/ext/awt/RadialGradientPaintContext.java,524,783,135,7,"RadialGradientPaintContext.antiAliasFillRaster(int[],int,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,sources/org/apache/batik/bridge/SVGUtilities.java,824,993,129,7,"SVGUtilities.convertFilterPrimitiveRegion(Element,Element,Element,GraphicsNode,Rectangle2D,Rectangle2D,BridgeContext)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,sources/org/apache/batik/anim/MotionAnimation.java,77,224,127,17,"MotionAnimation.$constructor(TimedElement,AnimatableElement,int,float[],float[],boolean,boolean,AnimatableValue[],AnimatableValue,AnimatableValue,AnimatableValue,ExtendedGeneralPath,float[],boolean,boolean,float,short)",False
