className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/requestmanager/RequestManager.java,1916,2010,74,7,"RequestManager.backupBackend(DatabaseBackend,String,String,String,String,String,ArrayList)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/virtualdatabase/VirtualDatabaseDynamicMetaData.java,504,565,55,7,"VirtualDatabaseDynamicMetaData.getCrossReference(String,String,String,String,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/backup/OctopusBackuper.java,364,419,50,13,"OctopusBackuper.callOctopusLoader(String,String,String,String,String,String,String,String,String,String,boolean,boolean,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/common/sql/filters/MacrosHandler.java,109,142,32,7,"MacrosHandler.$constructor(int,long,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/backend/DatabaseBackend.java,202,240,30,7,"DatabaseBackend.$constructor(String,String,String,String,String,boolean,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/requestmanager/RequestManager.java,187,223,30,8,"RequestManager.$constructor(VirtualDatabase,AbstractScheduler,AbstractResultCache,AbstractLoadBalancer,RecoveryLog,long,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/console/monitoring/MonitoringConsole.java,873,908,29,7,"MonitoringConsole.graph(String,DataCollectorMBean,int,int,int,int,WindowListener)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/recoverylog/RecoveryLog.java,2100,2138,23,11,"RecoveryLog.setDumpTableCreateStatement(String,String,String,String,String,String,String,String,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/recoverylog/RecoveryLog.java,191,220,23,7,"RecoveryLog.$constructor(String,String,String,String,String,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/driver/Field.java,118,144,22,17,"Field.$constructor(String,String,int,int,String,String,boolean,boolean,boolean,int,boolean,boolean,boolean,boolean,boolean,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/virtualdatabase/VirtualDatabase.java,217,244,21,9,"VirtualDatabase.$constructor(Controller,String,int,boolean,int,int,long,int,AbstractBlobFilter)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/driver/Connection.java,183,207,18,8,"Connection.$constructor(Driver,Socket,CJDBCInputStream,CJDBCOutputStream,CjdbcUrl,ControllerInfo,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/recoverylog/RecoveryLog.java,2033,2053,17,7,"RecoveryLog.setBackendTableCreateStatement(String,String,String,String,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/recoverylog/RecoveryLog.java,2152,2170,16,8,"RecoveryLog.setLogTableCreateStatement(String,String,String,String,String,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/common/jmx/notifications/JmxNotification.java,130,146,13,11,"JmxNotification.$constructor(String,String,String,String,String,String,String,String,String,String,Hashtable)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/connection/AbstractPoolConnectionManager.java,90,108,13,7,"AbstractPoolConnectionManager.$constructor(String,String,String,String,String,String,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/common/sql/schema/DatabaseProcedureParameter.java,181,195,12,10,"DatabaseProcedureParameter.$constructor(String,int,int,String,float,int,int,int,int,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/virtualdatabase/VirtualDatabase.java,1594,1608,12,7,"VirtualDatabase.backupBackend(String,String,String,String,String,String,ArrayList)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/connection/VariablePoolConnectionManager.java,159,173,11,11,"VariablePoolConnectionManager.$constructor(String,String,String,String,String,String,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/virtualdatabase/DistributedVirtualDatabase.java,169,185,11,10,"DistributedVirtualDatabase.$constructor(Controller,String,String,int,boolean,int,int,long,int,AbstractBlobFilter)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/common/shared/DumpInfo.java,60,71,9,7,"DumpInfo.$constructor(String,String,String,String,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/requestmanager/distributed/DistributedRequestManager.java,102,113,7,8,"DistributedRequestManager.$constructor(DistributedVirtualDatabase,AbstractScheduler,AbstractResultCache,AbstractLoadBalancer,RecoveryLog,long,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/backend/DatabaseBackend.java,349,358,6,7,"DatabaseBackend.$constructor(String,String,String,String,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/connection/RandomWaitPoolConnectionManager.java,66,73,5,8,"RandomWaitPoolConnectionManager.$constructor(String,String,String,String,String,String,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/controller/connection/VariablePoolConnectionManager.java,117,125,5,10,"VariablePoolConnectionManager.$constructor(String,String,String,String,String,String,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/objectweb/cjdbc/common/sql/AlterRequest.java,95,101,4,7,"AlterRequest.$constructor(String,boolean,int,String,DatabaseSchema,int,boolean)",False
