className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,contrib/usage/src/checkstyle/com/puppycrawl/tools/checkstyle/checks/usage/transmogrify/Resolver.java,522,888,305,305,"Resolver.resolveExpression(SymTabAST,Scope,IClass,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/testinputs/com/puppycrawl/tools/checkstyle/ComplexityOverflow.java,9,171,162,162,ComplexityOverflow.provokeNpathIntegerOverflow(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/testinputs/com/puppycrawl/tools/checkstyle/coding/InputFallThrough.java,131,270,128,128,"InputFallThrough.methodFallThru(int,int,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/testinputs/com/puppycrawl/tools/checkstyle/coding/InputFallThrough.java,3,126,122,122,"InputFallThrough.method(int,int,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputValidIfIndent.java,79,212,98,98,InputValidIfIndent.populatedIfTest(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,331,442,94,94,Checker.normalize(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputInvalidIfIndent.java,105,229,93,93,InputInvalidIfIndent.populatedIfTest(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java,401,501,88,88,JavadocMethodCheck.getMethodTags(TextBlock),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,contrib/usage/src/checkstyle/com/puppycrawl/tools/checkstyle/checks/usage/transmogrify/TableMaker.java,234,341,84,84,"TableMaker.walkTree(SymTabAST,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/TreeWalker.java,174,257,79,79,"TreeWalker.processFiltered(File,List)",False
