className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,contrib/usage/src/checkstyle/com/puppycrawl/tools/checkstyle/checks/usage/transmogrify/Resolver.java,522,888,305,111,"Resolver.resolveExpression(SymTabAST,Scope,IClass,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/testinputs/com/puppycrawl/tools/checkstyle/ComplexityOverflow.java,9,171,162,81,ComplexityOverflow.provokeNpathIntegerOverflow(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/testinputs/com/puppycrawl/tools/checkstyle/coding/InputFallThrough.java,131,270,128,47,"InputFallThrough.methodFallThru(int,int,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/testinputs/com/puppycrawl/tools/checkstyle/coding/InputFallThrough.java,3,126,122,44,"InputFallThrough.method(int,int,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputValidIfIndent.java,79,212,98,32,InputValidIfIndent.populatedIfTest(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java,331,442,94,29,Checker.normalize(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputInvalidIfIndent.java,105,229,93,29,InputInvalidIfIndent.populatedIfTest(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,contrib/usage/src/checkstyle/com/puppycrawl/tools/checkstyle/checks/usage/transmogrify/TableMaker.java,234,341,84,28,"TableMaker.walkTree(SymTabAST,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputInvalidWhileIndent.java,18,97,63,34,InputInvalidWhileIndent.method1(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/coding/FinalLocalVariableCheck.java,90,147,51,32,FinalLocalVariableCheck.visitToken(DetailAST),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java,401,501,88,20,JavadocMethodCheck.getMethodTags(TextBlock),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/blocks/RightCurlyCheck.java,96,181,77,19,RightCurlyCheck.visitToken(DetailAST),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/coding/DeclarationOrderCheck.java,107,194,77,21,DeclarationOrderCheck.visitToken(DetailAST),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,contrib/usage/src/checkstyle/com/puppycrawl/tools/checkstyle/checks/usage/transmogrify/TableMaker.java,992,1093,76,16,ClassFinisher.addImports(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocUtils.java,48,127,74,15,"JavadocUtils.getJavadocTags(TextBlock,JavadocTagType)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,contrib/usage/src/checkstyle/com/puppycrawl/tools/checkstyle/checks/usage/transmogrify/Resolver.java,1041,1120,63,12,"Resolver.resolveMethod(SymTabAST,Scope,IClass,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java,698,779,61,17,"JavadocMethodCheck.checkThrowsTags(List,List,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/modifier/RedundantModifierCheck.java,52,123,61,16,RedundantModifierCheck.visitToken(DetailAST),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/coding/IllegalInstantiationCheck.java,228,313,59,21,IllegalInstantiationCheck.getIllegalInstantiation(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/whitespace/WhitespaceAroundCheck.java,222,298,59,25,WhitespaceAroundCheck.visitToken(DetailAST),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputValidSwitchIndent.java,23,102,58,13,InputValidSwitchIndent.method1(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/checkstyle/com/puppycrawl/tools/checkstyle/checks/DeclarationCollector.java,46,105,57,14,DeclarationCollector.visitToken(DetailAST),False
