className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/commons/collections/map/AbstractHashedMap.java,1,1329,698,159,AbstractHashedMap.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/commons/collections/collection/AbstractCollectionDecorator.java,1,146,69,56,AbstractCollectionDecorator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/commons/collections/map/AbstractMapDecorator.java,1,141,67,80,AbstractMapDecorator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/commons/collections/keyvalue/MultiKey.java,1,258,66,60,MultiKey.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/commons/collections/MapIterator.java,1,109,10,67,MapIterator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/commons/collections/list/AbstractLinkedList.java,1,1012,585,25,AbstractLinkedList.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/commons/collections/bidimap/AbstractDualBidiMap.java,1,726,393,21,AbstractDualBidiMap.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/commons/collections/list/AbstractListDecorator.java,1,105,46,35,AbstractListDecorator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/commons/collections/iterators/AbstractIteratorDecorator.java,1,74,24,33,AbstractIteratorDecorator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/commons/collections/keyvalue/AbstractKeyValue.java,1,83,24,28,AbstractKeyValue.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/commons/collections/Bag.java,1,222,17,46,Bag.java,False
