className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/mail/core/org/columba/mail/folder/imap/IMAPFolder.java,262,526,156,37,IMAPFolder.synchronizeHeaderlist(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/mail/core/org/columba/mail/gui/table/model/TableModelSorter.java,176,284,95,34,"MessageHeaderComparator.compare(Object,Object)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/columba/core/org/columba/core/print/cPrintObject.java,150,251,79,27,cPrintObject.computePositionAndSize(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,plugins/org.columba.mail.EudoraMailImportFilter/src/org/columba/mail/EudoraMailImportFilter.java,508,603,72,30,EudoraMailImportFilter.guessBodyContentType(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/smtp/SMTPServer.java,120,286,124,16,SMTPServer.ensureAuthenticated(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/composer/MessageComposer.java,434,594,102,21,"MessageComposer.compose(IWorkerStatusController,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/columba/core/org/columba/core/gui/config/GeneralOptionsDialog.java,164,303,100,13,GeneralOptionsDialog.updateComponents(boolean),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/imap/IMAPServer.java,1560,1677,95,20,IMAPServer.getSearchKey(FilterCriteria),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,plugins/org.columba.mail.EudoraMailImportFilter/src/org/columba/mail/EudoraMailImportFilter.java,221,380,92,18,"EudoraMailImportFilter.convertAndSaveMessage(String,String,IWorkerStatusController,IMailbox)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/addressbook/core/org/columba/addressbook/gui/SelectAddressDialog.java,370,487,84,23,SelectAddressDialog.actionPerformed(ActionEvent),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/gui/config/account/IncomingServerPanel.java,446,536,83,21,IncomingServerPanel.actionPerformed(ActionEvent),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/imap/IMAPServer.java,461,585,83,16,IMAPServer.login(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/folder/command/SaveMessageBodyAsCommand.java,110,225,81,11,SaveMessageBodyAsCommand.execute(IWorkerStatusController),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/smtp/command/SendMessageCommand.java,137,281,79,11,SendMessageCommand.execute(IWorkerStatusController),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/folder/headercache/SyncHeaderList.java,26,128,72,16,"SyncHeaderList.sync(AbstractMessageFolder,IHeaderList)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/folder/AbstractMessageFolder.java,538,637,71,16,"AbstractMessageFolder.markMessage(Object,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/main/MessageOptionParser.java,30,122,71,17,MessageOptionParser.parse(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/pop3/POP3Store.java,239,334,71,12,POP3Store.login(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/imap/IMAPServer.java,237,332,70,15,IMAPServer.openConnection(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/folder/virtual/VirtualFolder.java,563,668,64,17,"VirtualFolder.searchMessages(Filter,Object[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/parser/text/HtmlParser.java,365,458,64,14,HtmlParser.substituteSpecialCharacters(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/columba/core/org/columba/core/gui/base/DateChooser.java,481,576,63,16,CalendarPane.paint(Graphics),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/folder/command/SaveMessageSourceAsCommand.java,66,152,63,11,SaveMessageSourceAsCommand.execute(IWorkerStatusController),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/parser/text/HtmlParser.java,472,566,63,14,HtmlParser.substituteSpecialCharactersInHeaderfields(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/folder/command/ToggleMarkCommand.java,78,167,62,21,ToggleMarkCommand.execute(IWorkerStatusController),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/pop3/POP3Store.java,428,513,62,15,POP3Store.openConnection(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/columba/core/org/columba/core/gui/config/GeneralOptionsDialog.java,466,548,60,15,GeneralOptionsDialog.actionPerformed(ActionEvent),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/columba/core/org/columba/core/gui/menu/MenuXMLDecoder.java,377,445,60,12,"MenuXMLDecoder.extendMenu(ExtendableMenuBar,ExtendableMenu,Element,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/composer/MessageComposer.java,79,182,60,11,MessageComposer.initHeader(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/mail/core/org/columba/mail/parser/ListBuilder.java,54,137,60,14,ListBuilder.createFlatList(List),False
