className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,db-derby-10.9.1.0-src/generated/java/org/apache/derby/impl/sql/compile/SQLParserTokenManager.java,3741,4447,706,12,"SQLParserTokenManager.jjMoveStringLiteralDfa4_0(long,long,long,long,long,long,long,long,long,long,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,db-derby-10.9.1.0-src/generated/java/org/apache/derby/impl/sql/compile/SQLParserTokenManager.java,3104,3740,636,12,"SQLParserTokenManager.jjMoveStringLiteralDfa3_0(long,long,long,long,long,long,long,long,long,long,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,db-derby-10.9.1.0-src/generated/java/org/apache/derby/impl/sql/compile/SQLParserTokenManager.java,4448,5052,604,12,"SQLParserTokenManager.jjMoveStringLiteralDfa5_0(long,long,long,long,long,long,long,long,long,long,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,db-derby-10.9.1.0-src/generated/java/org/apache/derby/impl/sql/compile/SQLParserTokenManager.java,5053,5545,492,12,"SQLParserTokenManager.jjMoveStringLiteralDfa6_0(long,long,long,long,long,long,long,long,long,long,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,db-derby-10.9.1.0-src/generated/java/org/apache/derby/impl/sql/compile/SQLParserTokenManager.java,5546,6038,492,12,"SQLParserTokenManager.jjMoveStringLiteralDfa7_0(long,long,long,long,long,long,long,long,long,long,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,db-derby-10.9.1.0-src/generated/java/org/apache/derby/impl/sql/compile/SQLParserTokenManager.java,2667,3103,436,16,"SQLParserTokenManager.jjMoveStringLiteralDfa2_0(long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,db-derby-10.9.1.0-src/generated/java/org/apache/derby/impl/sql/compile/SQLParserTokenManager.java,6039,6419,380,12,"SQLParserTokenManager.jjMoveStringLiteralDfa8_0(long,long,long,long,long,long,long,long,long,long,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,db-derby-10.9.1.0-src/java/engine/org/apache/derby/impl/store/raw/data/StoredPage.java,3663,4300,374,11,"StoredPage.logRow(int,boolean,int,Object[],FormatableBitSet,DynamicByteArrayOutputStream,int,byte,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,db-derby-10.9.1.0-src/generated/java/org/apache/derby/impl/sql/compile/SQLParserTokenManager.java,2329,2666,337,8,"SQLParserTokenManager.jjMoveStringLiteralDfa1_0(long,long,long,long,long,long,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,db-derby-10.9.1.0-src/java/engine/org/apache/derby/impl/store/raw/data/StoredPage.java,5508,5857,221,7,"StoredPage.readRecordFromArray(Object[],int,int[],int[],ArrayInputStream,StoredRecordHeader,RecordHandle)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,db-derby-10.9.1.0-src/generated/java/org/apache/derby/impl/sql/compile/SQLParserTokenManager.java,6420,6640,220,12,"SQLParserTokenManager.jjMoveStringLiteralDfa9_0(long,long,long,long,long,long,long,long,long,long,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,db-derby-10.9.1.0-src/java/engine/org/apache/derby/impl/store/raw/data/StoredPage.java,5189,5506,198,7,"StoredPage.readRecordFromStream(Object[],int,int[],int[],LimitObjectInput,StoredRecordHeader,RecordHandle)",False
