className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/anotherbigidea/flash/movie/Shape.java,1,771,518,75,Shape.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,at/bestsolution/drawswf/drawobjects/DrawObject.java,1,583,363,98,DrawObject.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/apache/batik/ext/awt/image/rendered/AbstractRed.java,1,659,336,83,AbstractRed.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/anotherbigidea/io/OutStream.java,1,440,243,101,OutStream.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,at/bestsolution/drawswf/MainWindow.java,1,271,185,100,MainWindow.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/anotherbigidea/flash/movie/FontDefinition.java,1,232,137,59,FontDefinition.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/anotherbigidea/flash/interfaces/SWFActions.java,1,222,115,111,SWFActions.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,at/bestsolution/drawswf/drawobjects/DrawSWFFont.java,1,93,50,53,DrawSWFFont.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,com/incors/plaf/kunststoff/KunststoffUtilities.java,1,79,46,87,KunststoffUtilities.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/apache/batik/ext/awt/image/GraphicsUtil.java,1,1632,984,35,GraphicsUtil.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,at/bestsolution/drawswf/DrawingPanel.java,1,717,545,27,DrawingPanel.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,com/anotherbigidea/flash/movie/Font.java,1,441,277,23,Font.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,com/anotherbigidea/flash/movie/Movie.java,1,382,213,41,Movie.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,com/incors/plaf/kunststoff/KunststoffLookAndFeel.java,1,210,98,39,KunststoffLookAndFeel.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/apache/batik/ext/awt/MultipleGradientPaint.java,1,235,94,33,MultipleGradientPaint.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/apache/batik/util/DoublyLinkedList.java,1,185,87,26,DoublyLinkedList.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,at/bestsolution/util/BestsolutionConfiguration.java,1,131,83,29,BestsolutionConfiguration.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,com/anotherbigidea/flash/structs/Rect.java,1,135,76,34,Rect.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,com/anotherbigidea/flash/interfaces/SWFTagTypes.java,1,181,68,34,SWFTagTypes.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,com/anotherbigidea/flash/structs/Color.java,1,99,52,23,Color.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,com/anotherbigidea/flash/movie/Transform.java,1,118,50,26,Transform.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,at/bestsolution/drawswf/actions/AbstractDrawAction.java,1,82,42,48,AbstractDrawAction.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,com/anotherbigidea/flash/movie/Symbol.java,1,97,37,34,Symbol.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,com/anotherbigidea/flash/interfaces/SWFSpriteTagTypes.java,1,101,33,28,SWFSpriteTagTypes.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/apache/batik/ext/awt/image/rendered/CachableRed.java,1,56,9,25,CachableRed.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,at/bestsolution/drawswf/dialog/FontDialog.java,1,393,275,13,FontDialog.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,at/bestsolution/drawswf/dialog/OpenList.java,1,183,149,12,OpenList.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,org/apache/batik/ext/awt/image/rendered/TileBlock.java,1,255,148,11,TileBlock.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,at/bestsolution/drawswf/DrawObjectList.java,1,221,139,13,DrawObjectList.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,com/anotherbigidea/flash/sound/MP3Frame.java,1,217,134,14,MP3Frame.java,False
