className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/java12/com/vladium/jcd/cls/ClassDef.java,1,732,459,54,ClassDef.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/java12/com/vladium/logging/Logger.java,1,611,326,146,Logger.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/java12/com/vladium/emma/Command.java,1,326,236,61,Command.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/java12/com/vladium/util/ByteArrayOStream.java,1,320,160,86,ByteArrayOStream.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/java12/com/vladium/emma/report/Item.java,1,162,97,58,Item.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/java12/com/vladium/jcd/cls/attribute/Attribute_info.java,1,204,95,51,Attribute_info.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/java12/com/vladium/emma/report/html/doc/IElement.java,1,127,85,73,IElement.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/java12/com/vladium/emma/report/html/doc/HTMLTable.java,1,132,78,69,HTMLTable.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/java12/com/vladium/util/asserts/$assert.java,1,60,21,152,$assert.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/util/Property.java,1,557,344,25,Property.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/util/IProperties.java,1,370,224,35,IProperties.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/emma/instr/InstrProcessor.java,1,319,201,25,InstrProcessor.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/emma/report/IItemAttribute.java,1,266,170,30,IItemAttribute.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/util/Files.java,1,338,166,21,Files.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/util/IntObjectMap.java,1,288,152,39,IntObjectMap.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/emma/report/html/doc/HTMLDocument.java,1,200,121,28,HTMLDocument.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/jcd/cls/Method_info.java,1,220,103,24,Method_info.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/util/IntVector.java,1,156,103,32,IntVector.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/jcd/cls/constant/CONSTANT_info.java,1,203,94,25,CONSTANT_info.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/emma/report/html/doc/HTMLWriter.java,1,119,82,25,HTMLWriter.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,ant/ant14/com/vladium/emma/ant/SuppressableTask.java,1,132,71,34,SuppressableTask.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/emma/report/html/doc/AttributeSet.java,1,117,64,21,AttributeSet.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/emma/report/html/doc/ISimpleElement.java,1,99,63,50,ISimpleElement.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/emma/Processor.java,1,119,62,21,Processor.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/emma/report/IItemMetadata.java,1,76,39,45,IItemMetadata.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/util/args/IOptsParser.java,1,78,36,40,IOptsParser.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/emma/report/IItem.java,1,75,29,35,IItem.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/jcd/cls/IConstantCollection.java,1,175,26,22,IConstantCollection.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/jcd/lib/UDataInputStream.java,1,58,22,40,UDataInputStream.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,core/java12/com/vladium/jcd/lib/UDataOutputStream.java,1,54,20,47,UDataOutputStream.java,False
