className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindNullDeref.java,1245,1437,150,8,"FindNullDeref.foundGuaranteedNullDeref(Set,Set,SortedSet,ValueNumberDataflow,ValueNumber,BugAnnotation,NullValueUnconditionalDeref,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java5/edu/umd/cs/findbugs/gui2/NewProjectWizard.java,304,420,108,7,"NewProjectWizard.createFilePanel(String,JList,DefaultListModel,int,FileFilter,String,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java5/edu/umd/cs/findbugs/gui2/SpringUtilities.java,45,121,59,7,"SpringUtilities.makeGrid(Container,int,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java5/edu/umd/cs/findbugs/gui2/SpringUtilities.java,148,200,44,7,"SpringUtilities.makeCompactGrid(Container,int,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindRefComparison.java,913,972,37,7,"FindRefComparison.handleStringComparison(JavaClass,MethodGen,RefComparisonTypeFrameModelingVisitor,List,Location,Type,Type)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindSelfComparison2.java,167,204,37,7,"FindSelfComparison2.checkForSelfOperation(ClassContext,Location,ValueNumberDataflow,String,Method,MethodGen,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java5/edu/umd/cs/findbugs/gui2/BugRenderer.java,38,76,36,7,"BugRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindRefComparison.java,863,911,35,8,"FindRefComparison.checkRefComparison(Location,JavaClass,Method,MethodGen,RefComparisonTypeFrameModelingVisitor,TypeDataflow,List,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/gui/BugCellRenderer.java,76,115,32,7,"BugCellRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindRefComparison.java,974,1007,29,8,"FindRefComparison.handleSuspiciousRefComparison(JavaClass,Method,MethodGen,List,Location,String,ReferenceType,ReferenceType)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/CheckTypeQualifiers.java,411,448,28,7,"CheckTypeQualifiers.checkForConflictingValues(MethodDescriptor,TypeQualifierValue,TypeQualifierValueSet,TypeQualifierValueSet,Location,Location,ValueNumberFrame)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/ba/type/TypeAnalysis.java,190,218,26,8,"TypeAnalysis.$constructor(Method,MethodGen,CFG,DepthFirstSearch,TypeMerger,TypeFrameModelingVisitor,RepositoryLookupFailureCallback,ExceptionSetFactory)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/CheckTypeQualifiers.java,450,506,24,10,"CheckTypeQualifiers.emitDataflowWarning(MethodDescriptor,TypeQualifierValue,TypeQualifierValueSet,TypeQualifierValueSet,ValueNumber,FlowValue,FlowValue,Location,Location,ValueNumberFrame)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindRefComparison.java,777,808,21,9,"FindRefComparison.inspectLocation(JavaClass,ConstantPoolGen,Method,MethodGen,LinkedList,LinkedList,RefComparisonTypeFrameModelingVisitor,TypeDataflow,Location)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/ba/npe/IsNullValueAnalysis.java,97,119,19,7,"IsNullValueAnalysis.$constructor(MethodDescriptor,MethodGen,CFG,ValueNumberDataflow,TypeDataflow,DepthFirstSearch,AssertionMethods)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/classfile/analysis/MethodInfo.java,154,172,15,13,"MethodInfo.$constructor(String,String,String,String,String,int,boolean,boolean,boolean,boolean,String[],Map,Map)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/ba/jsr305/BackwardTypeQualifierDataflowFactory.java,63,87,14,8,"BackwardTypeQualifierDataflowFactory.getDataflow(DepthFirstSearch,XMethod,CFG,ValueNumberDataflow,ConstantPoolGen,IAnalysisCache,MethodDescriptor,TypeQualifierValue)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/classfile/analysis/ClassInfo.java,194,211,13,17,"ClassInfo.$constructor(ClassDescriptor,String,ClassDescriptor,ClassDescriptor[],ICodeBaseEntry,int,String,int,int,Collection,Collection,Map,FieldInfo[],MethodInfo[],ClassDescriptor,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/classfile/analysis/ClassNameAndSuperclassInfo.java,149,165,12,9,"ClassNameAndSuperclassInfo.$constructor(ClassDescriptor,ClassDescriptor,ClassDescriptor[],ICodeBaseEntry,int,Collection,Collection,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/ba/bcp/PatternMatcher.java,179,192,11,8,"State.$constructor(State,BasicBlock,InstructionIterator,PatternElement,int,PatternElementMatch,BindingSet,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/ba/deref/UnconditionalValueDerefAnalysis.java,117,135,11,7,"UnconditionalValueDerefAnalysis.$constructor(ReverseDepthFirstSearch,DepthFirstSearch,CFG,Method,MethodGen,ValueNumberDataflow,AssertionMethods)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/ba/obl/ObligationAnalysis.java,95,113,11,8,"ObligationAnalysis.$constructor(DepthFirstSearch,XMethod,ConstantPoolGen,ObligationFactory,ObligationPolicyDatabase,TypeDataflow,IsNullValueDataflow,IErrorLogger)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/CheckTypeQualifiers.java,508,529,11,8,"CheckTypeQualifiers.emitSourceWarning(String,MethodDescriptor,TypeQualifierValue,FlowValue,TypeQualifierValueSet,SourceSinkInfo,ValueNumber,Location)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/BugPattern.java,79,90,10,8,"BugPattern.$constructor(String,String,String,boolean,String,String,String,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/ba/obl/MatchMethodEntry.java,94,108,9,7,"MatchMethodEntry.$constructor(TypeMatcher,StringMatcher,StringMatcher,boolean,ObligationPolicyDatabaseActionType,ObligationPolicyDatabaseEntryType,Obligation[])",False
