className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/OpcodeStack.java,827,1599,655,280,"OpcodeStack.sawOpcode(DismantleBytecode,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/DumbMethods.java,166,896,620,339,DumbMethods.sawOpcode(int),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/visitclass/DismantleBytecode.java,425,832,372,136,DismantleBytecode.visit(Code),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindPuzzlers.java,120,550,366,193,FindPuzzlers.sawOpcode(int),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindBadCast2.java,137,477,291,120,"FindBadCast2.analyzeMethod(ClassContext,Method)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/UnreadFields.java,666,1001,290,105,UnreadFields.report(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/UnreadFields.java,343,659,284,159,UnreadFields.sawOpcode(int),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/classfile/engine/ClassParserUsingASM.java,87,411,268,90,ClassParserUsingASM.parse(Builder),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindDeadLocalStores.java,195,555,266,111,"FindDeadLocalStores.analyzeMethod(ClassContext,Method)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/ba/BytecodeScanner.java,85,391,262,209,"BytecodeScanner.scan(byte[],Callback)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/cloud/db/DBStats.java,189,504,259,37,DBStats.main(String[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/PluginLoader.java,219,543,239,59,PluginLoader.init(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindUnrelatedTypesInGenericContainer.java,201,492,235,76,"FindUnrelatedTypesInGenericContainer.analyzeMethod(ClassContext,Method)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/ba/Dataflow.java,142,405,206,63,Dataflow.execute(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/cloud/db/DBCloud.java,292,517,193,48,PopulateBugs.execute(DatabaseSyncTask),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/OpcodeStack.java,1867,2061,182,87,"OpcodeStack.processMethodCall(DismantleBytecode,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/DroppedException.java,93,294,182,83,DroppedException.visit(Code),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindHEmismatch.java,103,305,180,90,FindHEmismatch.visitAfter(JavaClass),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/SAXBugCollectionHandler.java,132,323,162,57,"SAXBugCollectionHandler.startElement(String,String,String,Attributes)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindNullDeref.java,993,1185,159,50,"FindNullDeref.foundRedundantNullCheck(Location,RedundantBranch)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindNullDeref.java,1245,1437,150,51,"FindNullDeref.foundGuaranteedNullDeref(Set,Set,SortedSet,ValueNumberDataflow,ValueNumber,BugAnnotation,NullValueUnconditionalDeref,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/StringConcatenation.java,112,281,150,61,StringConcatenation.sawOpcode(int),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/workflow/RejarClassesForAnalysis.java,265,453,150,43,RejarClassesForAnalysis.execute(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/ba/npe/NullDerefAndRedundantComparisonFinder.java,211,403,149,41,NullDerefAndRedundantComparisonFinder.examineNullValues(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java5/edu/umd/cs/findbugs/gui2/NewProjectWizard.java,111,290,148,36,NewProjectWizard.$constructor(Project),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/ba/npe/IsNullValueAnalysis.java,369,560,144,43,"IsNullValueAnalysis.meetInto(IsNullValueFrame,Edge,IsNullValueFrame,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindBadCast.java,83,228,138,58,FindBadCast.sawOpcode(int),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/classfile/engine/bcel/CFGFactory.java,77,242,137,30,"CFGFactory.analyze(IAnalysisCache,MethodDescriptor)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/FindRefComparison.java,1010,1166,137,39,"FindRefComparison.checkEqualsComparison(Location,JavaClass,Method,MethodGen,ConstantPoolGen,TypeDataflow)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/edu/umd/cs/findbugs/detect/LazyInit.java,143,340,137,52,"LazyInit.reportMatch(ClassContext,Method,ByteCodePatternMatch)",False
