className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source/imp/java/src/fit/Fixture.java,255,286,32,32,"Fixture.check(Parse,TypeAdapter)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source/imp/java/src/fit/Parse.java,40,74,31,31,"Parse.$constructor(String,String[],int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fat/Tests.java,33,62,30,30,"Tests.performTest(Parse,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,spec/fat/Tests.java,33,62,30,30,"Tests.performTest(Parse,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,examples/eg/ColumnIndex.java,25,55,29,29,ColumnIndex.query(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/eg/ColumnIndex.java,25,55,29,29,ColumnIndex.query(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,examples/eg/AllFiles.java,58,86,28,28,"AllFiles.run(File,Fixture,Parse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/eg/AllFiles.java,58,86,28,28,"AllFiles.run(File,Fixture,Parse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fat/ReferenceFixture.java,12,40,28,28,ReferenceFixture.Result(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,spec/fat/ReferenceFixture.java,12,40,28,28,ReferenceFixture.Result(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/Parse.java,77,103,26,26,"Parse.findMatchingEndTag(String,int,String,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/RowFixture.java,32,56,25,25,"RowFixture.match(List,List,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/RowFixture.java,181,204,24,24,RowFixture.buildCells(Object),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/TypeAdapter.java,39,63,24,24,TypeAdapter.adapterFor(Class),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,examples/eg/Calculator.java,59,81,23,23,HP35.key(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,examples/eg/Calculator.java,59,81,23,23,HP35.key(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,spec/fat/Tests.java,101,123,23,23,Color.parse(Parse),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,spec/fat/Tests.java,101,123,23,23,Color.parse(Parse),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fat/AnnotationFixture.java,35,64,22,22,AnnotationFixture.ResultingHTML(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/RowFixture.java,131,152,22,22,"RowFixture.check(List,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,spec/fat/AnnotationFixture.java,35,64,22,22,AnnotationFixture.ResultingHTML(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,examples/eg/BinaryChop.java,49,68,20,20,"BinaryChop.chopTuesday(int,int[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/eg/BinaryChop.java,49,68,20,20,"BinaryChop.chopTuesday(int,int[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/ColumnFixture.java,71,90,19,19,ColumnFixture.bind(Parse),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/ActionFixture.java,54,71,18,18,"ActionFixture.method(String,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/Parse.java,220,237,18,18,Parse.footnote(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/RowFixture.java,75,92,18,18,"RowFixture.eSort(List,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/ColumnFixture.java,31,47,17,17,"ColumnFixture.doCell(Parse,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/Summary.java,17,33,17,17,Summary.rows(Iterator),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,examples/eg/BinaryChop.java,79,95,16,16,"BinaryChop.chopThursday(int,int[])",False
