className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source/imp/java/src/fit/TypeAdapter.java,39,63,24,19,TypeAdapter.adapterFor(Class),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,examples/eg/Calculator.java,59,81,23,20,HP35.key(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,examples/eg/Calculator.java,59,81,23,20,HP35.key(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source/imp/java/src/fat/AnnotationFixture.java,35,64,22,17,AnnotationFixture.ResultingHTML(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,spec/fat/AnnotationFixture.java,35,64,22,17,AnnotationFixture.ResultingHTML(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,examples/eg/net/GeoCoordinate.java,21,36,16,11,GeoCoordinate.parse(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source/imp/java/src/eg/net/GeoCoordinate.java,21,36,16,11,GeoCoordinate.parse(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source/imp/java/src/fat/Equals.java,41,56,16,12,Equals.type(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,spec/fat/Equals.java,41,56,16,12,Equals.type(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/Fixture.java,255,286,32,9,"Fixture.check(Parse,TypeAdapter)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/Parse.java,40,74,31,8,"Parse.$constructor(String,String[],int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fat/Tests.java,33,62,30,10,"Tests.performTest(Parse,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,spec/fat/Tests.java,33,62,30,10,"Tests.performTest(Parse,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,examples/eg/ColumnIndex.java,25,55,29,10,ColumnIndex.query(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/eg/ColumnIndex.java,25,55,29,10,ColumnIndex.query(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,examples/eg/AllFiles.java,58,86,28,6,"AllFiles.run(File,Fixture,Parse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/eg/AllFiles.java,58,86,28,6,"AllFiles.run(File,Fixture,Parse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/Parse.java,77,103,26,8,"Parse.findMatchingEndTag(String,int,String,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/RowFixture.java,32,56,25,8,"RowFixture.match(List,List,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,spec/fat/Tests.java,101,123,23,6,Color.parse(Parse),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,spec/fat/Tests.java,101,123,23,6,Color.parse(Parse),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/RowFixture.java,131,152,22,6,"RowFixture.check(List,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/ActionFixture.java,54,71,18,6,"ActionFixture.method(String,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fit/ColumnFixture.java,31,47,17,6,"ColumnFixture.doCell(Parse,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fat/Equals.java,20,35,15,7,"Equals.doCell(Parse,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,spec/fat/Equals.java,20,35,15,7,"Equals.doCell(Parse,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/fat/Tests.java,79,91,13,7,Tests.count(Parse),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,spec/fat/Tests.java,79,91,13,7,Tests.count(Parse),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,examples/eg/ArithmeticFixture.java,17,27,11,7,"ArithmeticFixture.doCell(Parse,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/imp/java/src/eg/ArithmeticFixture.java,17,27,11,7,"ArithmeticFixture.doCell(Parse,int)",False
