className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,fitnesse/lib/src/fitlibrarySrc/fitlibrary/diff/Diff_match_patch.java,1174,1323,127,127,Diff_match_patch.diff_cleanupMerge(LinkedList),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,fitnesse/lib/src/fitlibrarySrc/fitlibrary/diff/Diff_match_patch.java,428,554,115,115,"Diff_match_patch.diff_map(String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,fitnesse/lib/src/fitlibrarySrc/fitlibrary/diff/Diff_match_patch.java,206,329,99,99,"Diff_match_patch.diff_compute(String,String,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,fitnesse/lib/src/fitlibrarySrc/fitlibrary/diff/Diff_match_patch.java,2210,2313,96,96,Diff_match_patch.patch_splitMax(LinkedList),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,fitnesse/lib/src/fitlibrarySrc/fitlibrary/diff/Diff_match_patch.java,2015,2138,95,95,"Diff_match_patch.patch_apply(LinkedList,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,fitnesse/lib/src/fitlibrarySrc/fitlibrary/diff/Diff_match_patch.java,2340,2427,76,76,Diff_match_patch.patch_fromText(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,fitnesse/lib/src/fitlibrarySrc/fitlibrary/diff/Diff_match_patch.java,1057,1165,74,74,Diff_match_patch.diff_cleanupEfficiency(LinkedList),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,fitnesse/lib/src/fitlibrarySrc/fitlibrary/diff/Diff_match_patch.java,1638,1738,73,73,"Diff_match_patch.match_bitap(String,String,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,fitnesse/lib/src/fitlibrarySrc/fitlibrary/diff/Diff_match_patch.java,915,997,70,70,Diff_match_patch.diff_cleanupSemanticLossless(LinkedList),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,fitnesse/lib/src/fitlibrarySrc/fitlibrary/spec/TablesCompare.java,33,102,66,66,"TablesCompare.tablesEqual(String,TableElement,TableElement)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,fitnesse/lib/src/fitlibrarySrc/fitlibrary/diff/Diff_match_patch.java,1519,1590,62,62,"Diff_match_patch.diff_fromDelta(String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,fitnesse/lib/src/fitlibrarySrc/fitlibrary/diff/Diff_match_patch.java,1899,1978,60,60,"Diff_match_patch.patch_make(String,LinkedList)",False
