className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/Video.java,228,296,69,67,"Video.$constructor(String,String,String,String,String,Date,int,long,int,String,String,String,String,int,String,String,int,String,String,String,String,String,Boolean,Date,String,String,String,String,String,String,int,int,String,String,Date,Date,Date,Date,S",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/widget/MusicInfo.java,50,124,56,7,"MusicInfo.$constructor(BView,int,int,int,int,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/Audio.java,105,132,28,26,"Audio.$constructor(String,String,String,String,long,long,int,int,int,int,int,String,String,Boolean,String,int,Date,Date,Date,String,int,int,String,Integer,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/Movie.java,99,124,26,24,"Movie.$constructor(String,String,String,String,String,String,String,int,int,String,String,String,String,String,String,String,int,int,int,String,String,Date,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/PodcastTrack.java,93,117,25,23,"PodcastTrack.$constructor(String,String,String,String,String,String,String,String,Boolean,Boolean,String,Date,String,String,long,int,Long,Integer,int,long,Integer,Integer,Audio)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/VideocastTrack.java,93,117,25,23,"VideocastTrack.$constructor(String,String,String,String,String,String,String,String,Boolean,Boolean,String,Date,String,String,long,int,Long,Integer,int,long,Integer,Integer,Video)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/Podcast.java,91,113,23,21,"Podcast.$constructor(String,String,String,String,String,String,String,String,Boolean,Boolean,String,int,Date,String,int,String,String,Integer,Date,Integer,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/Videocast.java,91,113,23,21,"Videocast.$constructor(String,String,String,String,String,String,String,String,Boolean,Boolean,String,int,Date,String,int,String,String,Integer,Date,Integer,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/Audio.java,139,156,18,16,"Audio.$constructor(String,String,String,String,long,long,int,int,int,int,int,String,int,String,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/Image.java,75,92,18,16,"Image.$constructor(String,Date,Date,Date,Date,Date,String,long,String,String,int,int,String,Integer,Integer,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/Video.java,303,316,14,12,"Video.$constructor(String,int,long,int,String,int,int,int,int,String,int,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/gui/AppTree.java,123,137,14,7,"TreeCellRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/Movie.java,131,142,12,10,"Movie.$constructor(String,String,String,String,int,int,int,int,int,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/widget/ScrollText.java,154,168,12,9,"ScrollText.$constructor(BView,int,int,int,int,String,Font,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/Application.java,51,60,10,8,"Application.$constructor(String,String,String,int,Date,Date,Date,Boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/Playlist.java,52,61,10,8,"Playlist.$constructor(String,Date,Date,Date,int,String,String,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/Playlists.java,48,56,9,7,"Playlists.$constructor(String,Date,Date,Date,int,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/database/PodcastTrack.java,124,132,9,7,"PodcastTrack.$constructor(String,String,String,long,int,int,long)",False
