className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/goback/VideoServer.java,339,945,560,90,"VideoServer.getContainer(ItemURL,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/apps/movies/Movies.java,973,1411,371,93,MoviesFactory.initialize(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/util/Configurator.java,218,650,368,88,"Configurator.loadDocument(Node,AppManager)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/togo/ToGo.java,323,685,348,122,"ToGo.getvideoDetails(HttpClient,Video,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/apps/videocasting/Videocasting.java,252,648,346,136,Videocasting.getVideocast(Videocast),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/apps/podcasting/Podcasting.java,242,635,345,135,Podcasting.getPodcast(Podcast),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/util/IMDB.java,156,537,312,122,IMDB.getMovie(Movie),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/goback/VideoServer.java,947,1239,291,65,VideoServer.getVideoDetails(File),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/apps/videocasting/VideocastingThread.java,57,331,248,69,VideocastingThread.run(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/apps/podcasting/PodcastingThread.java,58,321,238,67,PodcastingThread.run(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/widget/MusicInfo.java,134,376,222,38,"MusicInfo.setAudio(Audio,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/goback/VideoServer.java,104,337,221,44,VideoServer.handle(HttpRequest),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/togo/ToGo.java,91,321,205,49,"ToGo.getRecordings(List,ProgressListener)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/togo/Rule.java,174,543,201,89,Rule.match(Video),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/media/VideoFile.java,96,314,198,32,"VideoFile.getVideo(Video,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java,1863,2081,197,48,"MusicOrganizer.getItems(PathScreen,FormatString,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/lnicholls/galleon/util/Configurator.java,667,925,194,33,"Configurator.save(AppManager,File)",False
