className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed,lineRanges
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/cfg/AnnotationBinder.java,1456,2107,565,565,"AnnotationBinder.processElementAnnotations(PropertyHolder,Nullability,PropertyData,HashMap,EntityBinder,boolean,boolean,boolean,Mappings,Map)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/persister/entity/JoinedSubclassEntityPersister.java,124,507,309,309,"JoinedSubclassEntityPersister.$constructor(PersistentClass,EntityRegionAccessStrategy,NaturalIdRegionAccessStrategy,SessionFactoryImplementor,Mapping)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/persister/collection/AbstractCollectionPersister.java,232,600,306,306,"AbstractCollectionPersister.$constructor(Collection,CollectionRegionAccessStrategy,Configuration,SessionFactoryImplementor)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/internal/SessionFactoryImpl.java,218,572,289,289,"SessionFactoryImpl.$constructor(Configuration,Mapping,ServiceRegistry,Settings,SessionFactoryObserver)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/persister/entity/SingleTableEntityPersister.java,139,453,271,271,"SingleTableEntityPersister.$constructor(PersistentClass,EntityRegionAccessStrategy,NaturalIdRegionAccessStrategy,SessionFactoryImplementor,Mapping)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,825,1146,257,257,"AbstractEntityPersister.$constructor(EntityBinding,EntityRegionAccessStrategy,NaturalIdRegionAccessStrategy,SessionFactoryImplementor)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/cfg/SettingsFactory.java,76,404,255,255,"SettingsFactory.buildSettings(Properties,ServiceRegistry)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/internal/SessionFactoryImpl.java,648,955,245,245,"SessionFactoryImpl.$constructor(MetadataImplementor,SessionFactoryOptions,SessionFactoryObserver)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,495,782,237,237,"AbstractEntityPersister.$constructor(PersistentClass,EntityRegionAccessStrategy,NaturalIdRegionAccessStrategy,SessionFactoryImplementor)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/cfg/annotations/CollectionBinder.java,1027,1309,231,231,"CollectionBinder.bindManyToManySecondPass(Collection,Map,Ejb3JoinColumn[],Ejb3JoinColumn[],Ejb3Column[],boolean,XClass,boolean,boolean,boolean,TableBinder,XProperty,PropertyHolder,String,Mappings)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/dialect/SybaseASE15Dialect.java,172,390,219,219,SybaseASE15Dialect.registerSybaseKeywords(),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/persister/entity/SingleTableEntityPersister.java,455,714,208,208,"SingleTableEntityPersister.$constructor(EntityBinding,EntityRegionAccessStrategy,NaturalIdRegionAccessStrategy,SessionFactoryImplementor,Mapping)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/tuple/entity/EntityMetamodel.java,365,595,179,179,"EntityMetamodel.$constructor(EntityBinding,SessionFactoryImplementor)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-entitymanager/src/main/java/org/hibernate/ejb/criteria/CriteriaQueryCompiler.java,247,461,173,173,"CriteriaQueryCompiler.wrap(TypedQuery,Map,Map)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/tuple/entity/EntityMetamodel.java,138,346,171,171,"EntityMetamodel.$constructor(PersistentClass,SessionFactoryImplementor)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/cfg/AnnotationBinder.java,504,714,170,170,"AnnotationBinder.bindClass(XClass,Map,Mappings)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/sql/Template.java,136,331,166,166,"Template.renderWhereStringTemplate(String,String,Dialect,SQLFunctionRegistry)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/event/service/internal/EventListenerRegistryImpl.java,184,418,164,164,EventListenerRegistryImpl.prepareListenerMap(),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/cfg/HbmBinder.java,1370,1570,159,159,"HbmBinder.bindCollection(Element,Collection,String,String,Mappings,Map)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/build.gradle,1,333,157,157,DefaultType.DefaultUnit,False,"[{'startLine': 1, 'endLine': 105}, {'startLine': 107, 'endLine': 112}, {'startLine': 121, 'endLine': 127}, {'startLine': 152, 'endLine': 147}, {'startLine': 216, 'endLine': 268}, {'startLine': 303, 'endLine': 303}, {'startLine': 309, 'endLine': 313}, {'startLine': 328, 'endLine': 333}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/hql/internal/classic/FromParser.java,70,276,156,156,"FromParser.token(String,QueryTranslatorImpl)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/loader/custom/sql/SQLQueryReturnProcessor.java,178,333,156,156,SQLQueryReturnProcessor.generateCustomReturns(boolean),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/cfg/annotations/CollectionBinder.java,397,578,153,153,CollectionBinder.bind(),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/cfg/annotations/EntityBinder.java,237,405,150,150,EntityBinder.bindEntity(),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/cfg/annotations/MapBinder.java,123,309,150,150,"MapBinder.bindKeyFromAssociationTable(XClass,Map,String,XProperty,boolean,Mappings,Ejb3Column[],Ejb3JoinColumn[],String)",False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,project/hibernate-core/src/main/java/org/hibernate/cfg/annotations/TableBinder.java,309,479,147,147,"TableBinder.bindFk(PersistentClass,PersistentClass,Ejb3JoinColumn[],SimpleValue,boolean,Mappings)",False,
