className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/server/ServerConnection.java,377,1479,697,697,ServerConnection.receiveOdbcPacket(char),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/StatementSchema.java,295,1128,655,655,StatementSchema.getResult(Session),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/SqlFile.java,4590,5262,568,568,"SqlFile.importDsv(String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/FunctionCustom.java,628,1363,564,564,"FunctionCustom.getValue(Session,Object[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/FunctionCustom.java,1365,1979,491,491,"FunctionCustom.resolveTypes(Session,Expression)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/StatementCommand.java,199,820,491,491,StatementCommand.getResult(Session),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/SqlFile.java,1401,1964,462,462,SqlFile.processSpecial(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/FunctionSQL.java,1092,1644,425,425,"FunctionSQL.resolveTypes(Session,Expression)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/FunctionSQL.java,560,1090,390,390,"FunctionSQL.getValue(Session,Object[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/sqltool/SqlFileScanner.java,682,1097,388,388,SqlFileScanner.yylex(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/util/TransferDb.java,429,876,365,365,"TransferDb.getTableStructure(TransferTable,DataAccessPoint)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/dbinfo/DatabaseInformationFull.java,4404,4795,362,362,DatabaseInformationFull.ROUTINES(Session),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/StatementSession.java,230,685,354,354,StatementSession.getResult(Session),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/Scanner.java,1285,1776,339,339,Scanner.scanToken(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/SqlTool.java,274,692,329,329,SqlTool.objectMain(String[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/doc-src/verbatim/src/org/hsqldb/Tokens.java,1597,1924,328,328,$block1hsqldb/doc-src/verbatim/src/org/hsqldb/Tokens.java_0,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/doc/verbatim/src/org/hsqldb/Tokens.java,1597,1924,328,328,$block1hsqldb/doc/verbatim/src/org/hsqldb/Tokens.java_1,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/Tokens.java,1597,1924,328,328,$block1,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/SqlFile.java,3217,3645,320,320,"SqlFile.displayResultSet(Statement,ResultSet,int[],String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/ParserDDL.java,1985,2398,310,310,ParserDDL.compileCreateTrigger(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/doc-src/verbatim/src/org/hsqldb/Tokens.java,1928,2211,278,278,$block2hsqldb/doc-src/verbatim/src/org/hsqldb/Tokens.java_0,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/doc/verbatim/src/org/hsqldb/Tokens.java,1928,2211,278,278,$block2hsqldb/doc/verbatim/src/org/hsqldb/Tokens.java_1,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/Tokens.java,1928,2211,278,278,$block2,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/ParserCommand.java,505,848,244,244,ParserCommand.compileSet(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/SqlFile.java,2723,3067,244,244,"SqlFile.listTables(char,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/dbinfo/DatabaseInformationFull.java,2028,2309,241,241,DatabaseInformationFull.COLUMNS(Session),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/ParserDQL.java,110,417,236,236,ParserDQL.readTypeDefinition(boolean),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/ParserDDL.java,306,595,225,225,ParserDDL.compileDrop(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/FunctionSQL.java,1646,1936,222,222,FunctionSQL.getSQL(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/ParserDDL.java,4526,4834,222,222,ParserDDL.compileRightGrantOrRevoke(boolean),False
