className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/server/ServerConnection.java,377,1479,697,135,ServerConnection.receiveOdbcPacket(char),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/StatementSchema.java,295,1128,655,156,StatementSchema.getResult(Session),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/SqlFile.java,4590,5262,568,165,"SqlFile.importDsv(String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/FunctionCustom.java,628,1363,564,159,"FunctionCustom.getValue(Session,Object[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/FunctionCustom.java,1365,1979,491,184,"FunctionCustom.resolveTypes(Session,Expression)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/StatementCommand.java,199,820,491,90,StatementCommand.getResult(Session),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/SqlFile.java,1401,1964,462,142,SqlFile.processSpecial(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/FunctionSQL.java,1092,1644,425,150,"FunctionSQL.resolveTypes(Session,Expression)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/FunctionSQL.java,560,1090,390,114,"FunctionSQL.getValue(Session,Object[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/sqltool/SqlFileScanner.java,682,1097,388,128,SqlFileScanner.yylex(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/util/TransferDb.java,429,876,365,68,"TransferDb.getTableStructure(TransferTable,DataAccessPoint)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/dbinfo/DatabaseInformationFull.java,4404,4795,362,27,DatabaseInformationFull.ROUTINES(Session),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/StatementSession.java,230,685,354,95,StatementSession.getResult(Session),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/Scanner.java,1285,1776,339,74,Scanner.scanToken(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/SqlTool.java,274,692,329,106,SqlTool.objectMain(String[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/SqlFile.java,3217,3645,320,109,"SqlFile.displayResultSet(Statement,ResultSet,int[],String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/ParserDDL.java,1985,2398,310,70,ParserDDL.compileCreateTrigger(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/ParserCommand.java,505,848,244,46,ParserCommand.compileSet(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/SqlFile.java,2723,3067,244,66,"SqlFile.listTables(char,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/ParserDQL.java,110,417,236,79,ParserDQL.readTypeDefinition(boolean),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/ParserDDL.java,306,595,225,34,ParserDDL.compileDrop(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/FunctionSQL.java,1646,1936,222,63,FunctionSQL.getSQL(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/ParserDDL.java,4526,4834,222,65,ParserDDL.compileRightGrantOrRevoke(boolean),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/SqlFile.java,1114,1363,211,63,SqlFile.processBuffHist(Token),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/util/DatabaseManagerSwing.java,1092,1356,210,61,DatabaseManagerSwing.actionPerformed(ActionEvent),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/ParserDML.java,59,326,203,55,ParserDML.compileInsertStatement(RangeVariable[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/FunctionSQL.java,267,532,198,42,FunctionSQL.$constructor(int),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/ParserRoutine.java,977,1228,193,60,"ParserRoutine.compileSQLProcedureStatementOrNull(Routine,StatementCompound)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/cmdline/SqlFile.java,729,990,193,59,SqlFile.scanpass(TokenSource),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,hsqldb/src/org/hsqldb/util/DatabaseManager.java,516,739,188,65,DatabaseManager.actionPerformed(ActionEvent),False
