className,category,severity,filename,startLine,endLine,lineRanges,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/de/nava/informa/utils/Base64Decoder.java,1,0,"[{'startLine': 177, 'endLine': 181}]",1,1,Base64Decoder.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,test/src/de/nava/informa/impl/hibernate/DemoCategoryHibernate.java,1,0,"[{'startLine': 95, 'endLine': 96}]",1,1,DemoCategoryHibernate.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/de/nava/informa/utils/PersistChanGrpMgr.java,1,0,"[{'startLine': 441, 'endLine': 441}]",1,1,PersistChanGrpMgr.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/de/nava/informa/utils/RSS200Settings.java,1,0,"[{'startLine': 34, 'endLine': 34}]",1,1,RSS200Settings.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/de/nava/informa/utils/InformaUtils.java,1,0,"[{'startLine': 76, 'endLine': 78}]",1,1,InformaUtils.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/de/nava/informa/utils/ParserUtils.java,1,0,"[{'startLine': 73, 'endLine': 81}, {'startLine': 143, 'endLine': 144}, {'startLine': 163, 'endLine': 163}]",3,3,ParserUtils.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/de/nava/informa/parsers/RSS_2_0_Parser.java,1,0,"[{'startLine': 247, 'endLine': 247}, {'startLine': 472, 'endLine': 472}]",2,2,RSS_2_0_Parser.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/de/nava/informa/utils/manager/hibernate/SpringPersistenceManager.java,1,0,"[{'startLine': 75, 'endLine': 75}]",1,1,SpringPersistenceManager.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/de/nava/informa/exporters/RSS_0_91_Exporter.java,1,0,"[{'startLine': 185, 'endLine': 188}]",1,1,RSS_0_91_Exporter.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/de/nava/informa/exporters/RSS_1_0_Exporter.java,1,0,"[{'startLine': 148, 'endLine': 148}, {'startLine': 203, 'endLine': 206}]",2,2,RSS_1_0_Exporter.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/de/nava/informa/utils/UpdateChannelTask.java,1,0,"[{'startLine': 143, 'endLine': 143}]",1,1,UpdateChannelTask.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/de/nava/informa/utils/RSS100Settings.java,1,0,"[{'startLine': 38, 'endLine': 38}]",1,1,RSS100Settings.java,False
