className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/pdf/codec/wmf/MetaDo.java,146,570,423,69,MetaDo.readAll(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/pdf/PdfDocument.java,1251,1595,336,101,"PdfDocument.writeLineToContent(PdfLine,PdfContentByte,PdfContentByte,Object[],float)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/pdf/ColumnText.java,1147,1512,334,107,ColumnText.goComposite(boolean),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/pdf/codec/BmpImage.java,245,631,309,76,"BmpImage.process(InputStream,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/pdf/PdfDocument.java,395,722,271,62,PdfDocument.add(Element),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/xml/simpleparser/SimpleXMLParser.java,181,484,269,98,SimpleXMLParser.go(Reader),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/html/simpleparser/HTMLWorker.java,173,439,262,76,"HTMLWorker.startElement(String,HashMap)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/pdf/PushbuttonField.java,320,551,232,79,PushbuttonField.getAppearance(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/pdf/PdfStamperImp.java,148,377,224,58,PdfStamperImp.close(HashMap),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/pdf/codec/TiffImage.java,283,515,224,79,"TiffImage.getTiffImageColor(TIFFDirectory,RandomAccessFileOrArray)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/pdf/PdfSignatureAppearance.java,386,622,217,37,PdfSignatureAppearance.getAppearance(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/pdf/PdfPRow.java,281,503,216,49,"PdfPRow.writeCells(int,int,float,float,PdfContentByte[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/pdf/PRTokeniser.java,290,497,203,68,PRTokeniser.nextToken(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/com/itextpdf/text/pdf/ByteBuffer.java,315,533,201,59,"ByteBuffer.formatDouble(double,ByteBuffer)",False
