className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/main/java/org/jfin/date/ScheduleGenerator.java,364,539,145,145,"ScheduleGenerator.generateSchedule(Calendar,Calendar,int,int,StubType,Period,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/main/java/org/jfin/date/daycount/defaultimpl/ISMAActualActual.java,51,219,136,136,"ISMAActualActual.calculateDaycountFraction(Calendar,Calendar,Calendar,Calendar)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,examples/DaycountFractionCalculator.java,39,150,99,99,DaycountFractionCalculator.main(String[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/example/java/DaycountFractionCalculator.java,39,150,99,99,DaycountFractionCalculator.main(String[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,examples/SwapScheduleGenerator.java,51,164,91,91,SwapScheduleGenerator.main(String[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/example/java/SwapScheduleGenerator.java,51,164,91,91,SwapScheduleGenerator.main(String[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/main/java/org/jfin/date/holiday/HolidayCalendar.java,223,305,61,61,"HolidayCalendar.adjust(Calendar,BusinessDayConvention,Calendar)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/main/java/org/jfin/date/holiday/financialcalendarimpl/InfoFileEntry.java,113,178,57,57,InfoFileEntry.parse(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/main/java/org/jfin/date/daycount/DaycountCalculatorFactory.java,98,158,55,55,DaycountCalculatorFactory.newInstance(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/main/java/org/jfin/date/daycount/defaultimpl/AFBActualActual.java,42,103,54,54,"AFBActualActual.calculateDaycountFraction(Calendar,Calendar)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/main/java/org/jfin/date/holiday/HolidayCalendarFactory.java,104,160,52,52,HolidayCalendarFactory.newInstance(String),False
