className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed,lineRanges
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/com/finalist/jaggenerator/JagGenerator.java,838,1345,420,420,JagGenerator.initComponents(),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/com/finalist/jaggenerator/SkeletValidator.java,40,413,288,288,SkeletValidator.validateSkelet(),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/iCalendar.js,369,681,269,269,iCalendar.js:getDates,False,"[{'startLine': 369, 'endLine': 403}, {'startLine': 405, 'endLine': 404}, {'startLine': 406, 'endLine': 681}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/crypto/Blowfish.js,11,548,154,154,Blowfish.js:templates/java5_2_tier/src/web-tapestry4/js/dojo/src/crypto/Blowfish.js,False,"[{'startLine': 11, 'endLine': 175}, {'startLine': 184, 'endLine': 183}, {'startLine': 192, 'endLine': 191}, {'startLine': 197, 'endLine': 196}, {'startLine': 206, 'endLine': 206}, {'startLine': 230, 'endLine': 230}, {'startLine': 254, 'endLine': 256}, {'startLine': 300, 'endLine': 304}, {'startLine': 322, 'endLine': 321}, {'startLine': 337, 'endLine': 340}, {'startLine': 361, 'endLine': 360}, {'startLine': 395, 'endLine': 394}, {'startLine': 462, 'endLine': 462}, {'startLine': 546, 'endLine': 548}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/com/finalist/jaggenerator/modules/Field.java,844,1031,148,148,Field.initComponents(),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/com/finalist/jag/JApplicationGen.java,217,410,146,146,JApplicationGen.createOutputStructure(String),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/com/finalist/jaggenerator/modules/Entity.java,772,948,146,146,Entity.initComponents(),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-struts/inc/jscalendar-1.0/calendar.js,720,960,146,146,calendar.js:Calendar.create,False,"[{'startLine': 720, 'endLine': 753}, {'startLine': 766, 'endLine': 846}, {'startLine': 868, 'endLine': 886}, {'startLine': 899, 'endLine': 899}, {'startLine': 920, 'endLine': 921}, {'startLine': 923, 'endLine': 960}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/io/BrowserIO.js,543,726,140,140,BrowserIO.js:bind,False,"[{'startLine': 543, 'endLine': 720}, {'startLine': 724, 'endLine': 726}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/hostenv_browser.js,29,394,137,137,hostenv_browser.js:templates/java5_2_tier/src/web-tapestry4/js/dojo/src/hostenv_browser.js,False,"[{'startLine': 29, 'endLine': 160}, {'startLine': 191, 'endLine': 204}, {'startLine': 228, 'endLine': 256}, {'startLine': 279, 'endLine': 286}, {'startLine': 295, 'endLine': 298}, {'startLine': 310, 'endLine': 331}, {'startLine': 367, 'endLine': 383}, {'startLine': 385, 'endLine': 385}, {'startLine': 393, 'endLine': 394}]"
