className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed,lineRanges
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/com/finalist/jaggenerator/SkeletValidator.java,40,413,288,87,SkeletValidator.validateSkelet(),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/iCalendar.js,369,681,269,72,iCalendar.js:getDates,False,"[{'startLine': 369, 'endLine': 403}, {'startLine': 405, 'endLine': 404}, {'startLine': 406, 'endLine': 681}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/com/finalist/jag/JApplicationGen.java,217,410,146,41,JApplicationGen.createOutputStructure(String),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-struts/inc/jscalendar-1.0/calendar.js,720,960,146,30,calendar.js:Calendar.create,False,"[{'startLine': 720, 'endLine': 753}, {'startLine': 766, 'endLine': 846}, {'startLine': 868, 'endLine': 886}, {'startLine': 899, 'endLine': 899}, {'startLine': 920, 'endLine': 921}, {'startLine': 923, 'endLine': 960}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/io/BrowserIO.js,543,726,140,58,BrowserIO.js:bind,False,"[{'startLine': 543, 'endLine': 720}, {'startLine': 724, 'endLine': 726}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/hostenv_browser.js,29,394,137,46,hostenv_browser.js:templates/java5_2_tier/src/web-tapestry4/js/dojo/src/hostenv_browser.js,False,"[{'startLine': 29, 'endLine': 160}, {'startLine': 191, 'endLine': 204}, {'startLine': 228, 'endLine': 256}, {'startLine': 279, 'endLine': 286}, {'startLine': 295, 'endLine': 298}, {'startLine': 310, 'endLine': 331}, {'startLine': 367, 'endLine': 383}, {'startLine': 385, 'endLine': 385}, {'startLine': 393, 'endLine': 394}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/validate.js,581,771,129,81,validate.js:dojo.validate.check,False,"[{'startLine': 581, 'endLine': 587}, {'startLine': 589, 'endLine': 588}, {'startLine': 590, 'endLine': 589}, {'startLine': 591, 'endLine': 590}, {'startLine': 597, 'endLine': 596}, {'startLine': 598, 'endLine': 597}, {'startLine': 599, 'endLine': 598}, {'startLine': 605, 'endLine': 771}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/event.js,20,149,122,35,event.js:interpolateArgs,False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-struts/inc/jscalendar-1.0/calendar.js,578,708,116,39,calendar.js:Calendar.cellClick,False,"[{'startLine': 578, 'endLine': 617}, {'startLine': 626, 'endLine': 708}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-struts/inc/jscalendar-1.0/calendar-setup.js,62,200,113,32,calendar-setup.js:Calendar.setup,False,"[{'startLine': 62, 'endLine': 62}, {'startLine': 64, 'endLine': 104}, {'startLine': 124, 'endLine': 200}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-struts/inc/jscalendar-1.0/calendar.js,1081,1193,106,29,calendar.js:Calendar._init,False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/lang/array.js,11,142,100,32,array.js:templates/java5_2_tier/src/web-tapestry4/js/dojo/src/lang/array.js,False,"[{'startLine': 11, 'endLine': 20}, {'startLine': 36, 'endLine': 142}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-struts/inc/jscalendar-1.0/calendar.js,963,1076,98,39,calendar.js:Calendar._keyEvent,False,"[{'startLine': 963, 'endLine': 1001}, {'startLine': 1009, 'endLine': 1008}, {'startLine': 1014, 'endLine': 1013}, {'startLine': 1019, 'endLine': 1076}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/com/finalist/jaggenerator/modules/Field.java,340,436,88,37,Field.getType(Column),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-struts/inc/jscalendar-1.0/calendar.js,1584,1674,85,49,calendar.js:Date.parseDate,False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/date.js,288,424,81,43,date.js:dojo.date.strftime.$,False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/widget/html/stabile.js,84,193,80,27,stabile.js:dojo.widget.html.stabile.description,False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-struts/inc/jscalendar-1.0/calendar.js,381,459,77,29,calendar.js:Calendar.tableMouseOver,False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/lang/type.js,131,202,72,27,type.js:dojo.lang.isOfType,False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/html.js,515,582,63,33,html.js:dojo.html.renderedTextContent,False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/com/finalist/jaggenerator/modules/Field.java,438,510,62,33,Field.getJdbcType(Column),False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/uri/Uri.js,26,107,57,36,Uri.js:Uri,False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/graphics/Colorspace.js,174,234,50,26,Colorspace.js:Colorspace.getWhitePoint,False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/validate.js,342,412,42,26,validate.js:dojo.validate.isValidDate,False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-tapestry4/js/dojo/src/widget/RichText.js,611,668,42,55,RichText.js:queryCommandAvailable,False,"[{'startLine': 611, 'endLine': 615}, {'startLine': 624, 'endLine': 668}]"
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-struts/inc/jscalendar-1.0/calendar-setup_stripped.js,21,21,1,31,calendar-setup_stripped.js:Calendar.setup,False,
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,templates/java5_2_tier/src/web-struts/inc/jscalendar-1.0/calendar_stripped.js,14,14,1,49,calendar_stripped.js:Date.parseDate,False,
