className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/james/core/MailImpl.java,1,638,306,207,MailImpl.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/mailet/MailAddress.java,1,448,271,175,MailAddress.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,proposals/imap/java/org/apache/james/imapserver/Mailbox.java,1,583,86,72,Mailbox.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/james/util/JDBCUtil.java,1,191,80,61,JDBCUtil.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/mailet/GenericMailet.java,1,191,49,316,GenericMailet.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/mailet/GenericMatcher.java,1,176,46,72,GenericMatcher.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/mailet/MailetContext.java,1,268,33,75,MailetContext.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/mailet/Mail.java,1,183,28,207,Mail.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,proposals/imap2/java/org/apache/james/imapserver/ImapSession.java,1,120,21,54,ImapSession.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/java/org/apache/james/services/UsersRepository.java,1,166,20,82,UsersRepository.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,proposals/imap/java/org/apache/james/imapserver/ImapRequest.java,1,43,15,56,ImapRequest.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/james/transport/mailets/AbstractRedirect.java,1,1828,1023,34,AbstractRedirect.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/james/fetchmail/ParsedConfiguration.java,1,1160,514,38,ParsedConfiguration.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,proposals/imap2/java/org/apache/james/imapserver/commands/CommandParser.java,1,573,398,29,CommandParser.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/james/core/AbstractJamesService.java,1,515,278,25,AbstractJamesService.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/james/fetchmail/ProcessorAbstract.java,1,568,234,37,ProcessorAbstract.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/james/util/SqlResources.java,1,365,189,27,SqlResources.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,proposals/imap2/java/org/apache/james/imapserver/store/MessageFlags.java,1,250,173,22,MessageFlags.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,proposals/imap2/java/org/apache/james/imapserver/ImapResponse.java,1,277,164,47,ImapResponse.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,proposals/imap2/java/org/apache/james/imapserver/ImapRequestLineReader.java,1,201,112,34,ImapRequestLineReader.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/james/transport/mailets/listservcommands/BaseCommand.java,1,223,108,43,BaseCommand.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/james/util/SynchronizedDateFormat.java,1,163,64,30,SynchronizedDateFormat.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/james/userrepository/DefaultUser.java,1,126,44,24,DefaultUser.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,proposals/imap/java/org/apache/james/imapserver/MailboxException.java,1,93,39,29,MailboxException.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,proposals/imap/java/org/apache/james/imapserver/FolderRecord.java,1,223,30,43,FolderRecord.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,proposals/imap2/java/org/apache/james/imapserver/store/ImapMailbox.java,1,73,27,40,ImapMailbox.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/james/nntpserver/repository/NNTPGroup.java,1,125,19,31,NNTPGroup.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/james/services/MailRepository.java,1,104,16,28,MailRepository.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/james/smtpserver/SMTPHandlerConfigurationData.java,1,96,14,23,SMTPHandlerConfigurationData.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/java/org/apache/james/services/JamesUser.java,1,89,13,40,JamesUser.java,False
