className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,server/src/main/org/jboss/ejb/Container.java,1,1645,1001,1001,Container.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,server/src/main/org/jboss/ejb/EjbModule.java,1,1264,888,888,EjbModule.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,server/src/main/org/jboss/ejb/EntityContainer.java,1,1212,830,830,EntityContainer.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,server/src/main/org/jboss/invocation/jrmp/server/JRMPInvoker.java,1,874,593,593,JRMPInvoker.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,server/src/main/org/jboss/invocation/pooled/server/PooledInvoker.java,1,916,529,529,PooledInvoker.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,server/src/main/org/jboss/ejb/SessionContainer.java,1,768,510,510,SessionContainer.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,system-jmx/src/main/org/jboss/system/ServiceController.java,1,768,500,500,ServiceController.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,server/src/main/org/jboss/proxy/ejb/ProxyFactory.java,1,689,486,486,ProxyFactory.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,connector/src/main/org/jboss/resource/connectionmanager/CachedConnectionManager.java,1,607,443,443,CachedConnectionManager.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,server/src/main/org/jboss/web/deployers/AbstractWarDeployer.java,1,748,440,440,AbstractWarDeployer.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,server/src/main/org/jboss/ejb/StatefulSessionContainer.java,1,618,425,425,StatefulSessionContainer.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,system-jmx/src/main/org/jboss/system/ServiceMBeanSupport.java,1,618,375,375,ServiceMBeanSupport.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,system-jmx/src/main/org/jboss/deployment/SubDeployerSupport.java,1,618,304,304,SubDeployerSupport.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,system-jmx/src/main/org/jboss/deployment/scanner/AbstractDeploymentScanner.java,1,382,237,237,AbstractDeploymentScanner.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,iiop/src/main/org/jboss/proxy/compiler/IIOPStubCompiler.java,1,409,224,224,IIOPStubCompiler.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,server/src/main/org/jboss/invocation/InvokerInterceptor.java,1,394,215,215,InvokerInterceptor.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,server/src/main/org/jboss/invocation/jrmp/server/JRMPProxyFactory.java,1,279,205,205,JRMPProxyFactory.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,server/src/main/org/jboss/invocation/http/server/HttpProxyFactory.java,1,283,193,193,HttpProxyFactory.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,varia/src/main/org/jboss/monitor/JBossMonitor.java,1,245,186,186,JBossMonitor.java,False
