className,category,severity,filename,startLine,endLine,lineRanges,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,cluster/src/main/org/jboss/ha/framework/interfaces/HARMIClient.java,1,0,"[{'startLine': 58, 'endLine': 58}, {'startLine': 61, 'endLine': 61}, {'startLine': 64, 'endLine': 64}, {'startLine': 88, 'endLine': 88}, {'startLine': 90, 'endLine': 90}, {'startLine': 114, 'endLine': 114}, {'startLine': 233, 'endLine': 234}, {'startLine': 337, 'endLine': 337}]",8,8,HARMIClient.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,aspects/src/test/test/dbc/DbcTest.java,1,0,"[{'startLine': 50, 'endLine': 50}]",1,1,DbcTest.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,cluster/src/main/org/jboss/ejb/plugins/StatefulHASessionPersistenceManager.java,1,0,"[{'startLine': 168, 'endLine': 168}]",1,1,StatefulHASessionPersistenceManager.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,aspects/src/test/test/asynchronous/JUnitTestAsynchronousAspects.java,1,0,"[{'startLine': 37, 'endLine': 37}, {'startLine': 293, 'endLine': 293}]",2,2,JUnitTestAsynchronousAspects.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,cluster/src/main/org/jboss/ha/framework/server/ClusterFileTransfer.java,1,0,"[{'startLine': 430, 'endLine': 430}]",1,1,ClusterFileTransfer.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,adminclient/src/main/java/org/jboss/adminclient/AdminClientMain.java,1,0,"[{'startLine': 112, 'endLine': 118}, {'startLine': 121, 'endLine': 121}, {'startLine': 129, 'endLine': 129}, {'startLine': 136, 'endLine': 136}, {'startLine': 155, 'endLine': 155}, {'startLine': 198, 'endLine': 205}, {'startLine': 233, 'endLine': 233}, {'startLine': 318, 'endLine': 318}, {'startLine': 401, 'endLine': 401}, {'startLine': 454, 'endLine': 457}, {'startLine': 469, 'endLine': 472}]",11,11,AdminClientMain.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,aspects/src/main/org/jboss/aspects/versioned/DistributedSynchronizationManager.java,1,0,"[{'startLine': 63, 'endLine': 63}]",1,1,DistributedSynchronizationManager.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,cluster/src/main/org/jboss/ha/framework/server/ClusterPartition.java,1,0,"[{'startLine': 2180, 'endLine': 2180}, {'startLine': 2303, 'endLine': 2303}, {'startLine': 2320, 'endLine': 2320}, {'startLine': 2330, 'endLine': 2330}]",4,4,ClusterPartition.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,aspects/src/test/test/asynchronous/BusinessThread.java,1,0,"[{'startLine': 33, 'endLine': 33}]",1,1,BusinessThread.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,NR_OF_TODO_COMMENTS,VERY_HIGH,cluster/src/main/org/jboss/ha/framework/interfaces/HARMIClient.java,1,0,"[{'startLine': 222, 'endLine': 222}]",1,1,HARMIClient.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,NR_OF_TODO_COMMENTS,VERY_HIGH,cluster/src/main/org/jboss/profileservice/cluster/repository/DefaultRepositoryClusteringHandler.java,1,0,"[{'startLine': 458, 'endLine': 458}, {'startLine': 470, 'endLine': 470}]",2,2,DefaultRepositoryClusteringHandler.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,NR_OF_TODO_COMMENTS,VERY_HIGH,aspects/src/main/org/jboss/aspects/versioned/DistributedTxCache.java,1,0,"[{'startLine': 85, 'endLine': 85}]",1,1,DistributedTxCache.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,NR_OF_TODO_COMMENTS,VERY_HIGH,cluster/src/main/org/jboss/ejb/plugins/StatefulHASessionInstanceCache.java,1,0,"[{'startLine': 126, 'endLine': 126}]",1,1,StatefulHASessionInstanceCache.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,NR_OF_TODO_COMMENTS,VERY_HIGH,cluster/src/main/org/jboss/invocation/jrmp/server/JRMPInvokerHA.java,1,0,"[{'startLine': 114, 'endLine': 114}]",1,1,JRMPInvokerHA.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,NR_OF_TODO_COMMENTS,VERY_HIGH,cluster/src/main/org/jboss/ha/framework/server/AsynchEventHandler.java,1,0,"[{'startLine': 34, 'endLine': 34}]",1,1,AsynchEventHandler.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,NR_OF_TODO_COMMENTS,VERY_HIGH,cluster/src/main/org/jboss/ha/framework/server/DistributedReplicantManagerImpl.java,1,0,"[{'startLine': 973, 'endLine': 973}]",1,1,DistributedReplicantManagerImpl.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,NR_OF_TODO_COMMENTS,VERY_HIGH,cluster/src/main/org/jboss/ha/framework/server/ClusterPartition.java,1,0,"[{'startLine': 126, 'endLine': 126}, {'startLine': 755, 'endLine': 755}, {'startLine': 1759, 'endLine': 1759}, {'startLine': 1765, 'endLine': 1765}]",4,4,ClusterPartition.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,NR_OF_TODO_COMMENTS,VERY_HIGH,connector/src/main/org/jboss/resource/adapter/jdbc/WrapperDataSource.java,1,0,"[{'startLine': 65, 'endLine': 65}, {'startLine': 71, 'endLine': 71}, {'startLine': 82, 'endLine': 82}]",3,3,WrapperDataSource.java,False
