className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/atomtype/CDKAtomTypeMatcher.java,1,1559,1413,1413,CDKAtomTypeMatcher.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/smiles/SmilesGenerator.java,1,1925,1396,1396,SmilesGenerator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/geometry/GeometryTools.java,1,1559,900,900,GeometryTools.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/AtomContainer.java,1,1734,869,869,AtomContainer.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/smiles/SmilesParser.java,1,857,682,682,SmilesParser.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/io/MDLV2000Reader.java,1,822,630,630,MDLV2000Reader.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/tools/manipulator/MolecularFormulaManipulator.java,1,1099,614,614,MolecularFormulaManipulator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/layout/StructureDiagramGenerator.java,1,1114,600,600,StructureDiagramGenerator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/layout/AtomPlacer.java,1,949,559,559,AtomPlacer.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/tools/manipulator/AtomContainerManipulator.java,1,831,499,499,AtomContainerManipulator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/layout/RingPlacer.java,1,781,496,496,RingPlacer.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/tools/SaturationChecker.java,1,712,473,473,SaturationChecker.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/io/MDLWriter.java,1,473,318,318,MDLWriter.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/nonotify/NoNotificationChemObjectBuilder.java,1,412,291,291,NoNotificationChemObjectBuilder.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/DefaultChemObjectBuilder.java,1,367,253,253,DefaultChemObjectBuilder.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/tools/manipulator/ChemModelManipulator.java,1,380,239,239,ChemModelManipulator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/inchi/InChIGenerator.java,1,419,227,227,InChIGenerator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/io/MDLRXNV2000Reader.java,1,324,221,221,MDLRXNV2000Reader.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/layout/TemplateHandler.java,1,346,215,215,TemplateHandler.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/tools/manipulator/ReactionManipulator.java,1,291,202,202,ReactionManipulator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/ChemObject.java,1,463,194,194,ChemObject.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,cdk/src/main/org/openscience/cdk/tools/manipulator/ReactionSetManipulator.java,1,299,194,194,ReactionSetManipulator.java,False
