className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/bsh/ParserTokenManager.java,1316,1879,563,255,"ParserTokenManager.jjMoveNfa_0(int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/jEdit.java,103,556,361,66,jEdit.main(String[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/installer/CBZip2OutputStream.java,1417,1845,342,66,CBZip2OutputStream.sendMTFValues(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/gui/ExtendedGridLayout.java,650,997,302,50,"ExtendedGridLayout.getSize(Container,LayoutSize,boolean,Dimension,List,Set,Set,int[][])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/bsh/org/objectweb/asm/CodeWriter.java,1286,1646,283,74,"CodeWriter.resizeInstructions(int[],int[],int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/syntax/XModeHandler.java,116,381,238,42,"XModeHandler.endElement(String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/syntax/TokenMarker.java,330,590,205,41,"TokenMarker.handleRule(ParserRule,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/installer/CBZip2InputStream.java,381,609,189,28,CBZip2InputStream.getAndMoveToFrontDecode(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/de/masters_of_disaster/ant/tasks/deb/Deb.java,120,324,184,41,Deb.execute(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/gui/ExtendedGridLayout.java,1011,1207,178,37,"ExtendedGridLayout.buildGrid(Container,List,Set,Set)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/Buffer.java,415,608,172,29,"Buffer.save(View,String,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/browser/VFSDirectoryEntryTable.java,274,458,172,41,VFSDirectoryEntryTable.processKeyEvent(KeyEvent),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/PluginJAR.java,418,596,166,27,PluginJAR.checkDependencies(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/installer/CBZip2OutputStream.java,964,1187,163,32,CBZip2OutputStream.mainSort(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/bsh/Parser.java,2981,3121,140,98,Parser.ForStatement(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/textarea/Gutter.java,711,871,140,32,"Gutter.paintLine(Graphics2D,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/bsh/Name.java,225,455,139,43,"Name.consumeNextObjectField(CallStack,Interpreter,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/bsh/ParserTokenManager.java,8,145,137,42,"ParserTokenManager.jjStopStringLiteralDfa_0(int,long,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/View.java,1692,1842,135,26,"View.restoreSplitConfig(Buffer,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/textarea/Gutter.java,904,1050,132,27,MouseHandler.mousePressed(MouseEvent),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/net/sourceforge/jarbundler/JarBundler.java,815,1040,126,40,JarBundler.execute(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/syntax/TokenMarker.java,91,261,126,27,"TokenMarker.markTokens(LineContext,TokenHandler,Segment)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/bufferio/BufferIORequest.java,156,351,121,26,"BufferIORequest.read(Reader,long,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/bsh/Parser.java,2199,2322,119,30,Parser.Literal(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/gui/KeyEventWorkaround.java,231,372,115,58,KeyEventWorkaround.processKeyEvent(KeyEvent),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jEdit/org/gjt/sp/jedit/textarea/TextArea.java,763,894,115,30,"TextArea.scrollTo(int,int,boolean)",False
