className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source/org/java/plugin/standard/StandardPluginClassLoader.java,418,511,91,5,"StandardPluginClassLoader.loadPluginClass(String,boolean,boolean,StandardPluginClassLoader,Set)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source-boot/org/java/plugin/boot/Boot.java,271,360,85,5,"Boot.boot(ExtendedProperties,boolean,String,BootErrorHandler,String[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source-boot/org/java/plugin/boot/ErrorDialog.java,315,365,50,6,"ErrorDialog.$constructor(Frame,String,String,Object,Throwable,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source/org/java/plugin/util/IoUtil.java,133,169,35,5,"IoUtil.copyFolder(File,File,boolean,boolean,FileFilter)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source-tools/org/java/plugin/tools/ant/VersionUpdateTask.java,325,345,19,5,"PluginInfo.$constructor(String,Properties,File,File,Version)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source-boot/org/java/plugin/boot/ErrorDialog.java,207,217,9,5,"ErrorDialog.showWarning(Component,String,String,Object,Throwable)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source/org/java/plugin/registry/xml/IntegrityChecker.java,223,230,7,5,"ReportItemImpl.$constructor(byte,Identity,int,String,Object)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source-boot/org/java/plugin/boot/ErrorDialog.java,143,150,6,5,"ErrorDialog.showError(Component,String,String,Object,Throwable)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,source/org/java/plugin/PluginClassLoader.java,47,53,5,5,"PluginClassLoader.$constructor(PluginManager,PluginDescriptor,URL[],ClassLoader,URLStreamHandlerFactory)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/org/java/plugin/registry/xml/ManifestHandler.java,54,272,207,4,"ManifestHandler.startElement(String,String,String,Attributes)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/org/java/plugin/registry/xml/ParameterValueParser.java,43,235,191,3,"ParameterValueParser.$constructor(PluginRegistry,ParameterDefinition,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/org/java/plugin/standard/ShadingPathResolver.java,667,813,145,3,"ShadowDataController.shadowResource(URL,String,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,source/org/java/plugin/registry/xml/ManifestHandler.java,278,373,88,3,"ManifestHandler.endElement(String,String,String)",False
