className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/acm/seguin/pmd/cpd/cppast/CPPParserTokenManager.java,793,1306,513,244,"CPPParserTokenManager.jjMoveNfa_0(int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,javacc/ast/JavaParserTokenManager.java,919,1388,469,211,"JavaParserTokenManager.jjMoveNfa_0(int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/net/sourceforge/jrefactory/parser/JavaParserTokenManager.java,933,1402,469,211,"JavaParserTokenManager.jjMoveNfa_0(int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/acm/seguin/pretty/PrintData.java,316,794,396,71,PrintData.$constructor(Writer),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,javacc/ast/JavaParser.java,2919,3082,163,72,JavaParser.ConstructorDeclaration(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/net/sourceforge/jrefactory/parser/JavaParser.java,2933,3096,163,72,JavaParser.ConstructorDeclaration(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/acm/seguin/pmd/cpd/cppast/CPPParser.java,3015,3176,162,49,CPPParser.optor(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/acm/seguin/pmd/cpd/cppast/CPPParser.java,348,500,153,54,CPPParser.declaration_specifiers(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/acm/seguin/pmd/cpd/cppast/CPPParser.java,9833,9985,153,142,CPPParser.jj_rescan_token(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,javacc/ast/JavaParserTokenManager.java,1748,1900,150,40,JavaParserTokenManager.getNextToken(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/net/sourceforge/jrefactory/parser/JavaParserTokenManager.java,1762,1914,150,40,JavaParserTokenManager.getNextToken(),False
