className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jars/sourceview/src/gnu/regexp/RE.java,276,788,342,168,"RE.initialize(Object,int,RESyntax,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/net/sourceforge/jsxe/dom/DOMSerializer.java,351,752,309,72,"DOMSerializer.rSerializeNode(Writer,Node,String,String,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jars/sourceview/src/org/syntax/jedit/tokenmarker/XMLTokenMarker.java,72,306,207,44,"XMLTokenMarker.markTokensImpl(byte,Segment,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/net/sourceforge/jsxe/jsXe.java,88,357,190,35,jsXe.main(String[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/net/sourceforge/jsxe/CatalogManager.java,56,176,90,26,"CatalogManager.resolve(String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/net/sourceforge/jsxe/dom/DOMSerializerConfiguration.java,161,254,86,29,"DOMSerializerConfiguration.canSetParameter(String,Object)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,jars/sourceview/src/gnu/regexp/RETokenPOSIX.java,65,119,51,26,"RETokenPOSIX.match(CharIndexed,REMatch)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,jars/treeview/src/treeview/DefaultViewTree.java,443,567,100,25,TreePopupListener.maybeShowPopup(MouseEvent),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,jars/treeview/src/treeview/DefaultViewTree.java,586,682,89,14,"DefaultViewTreeCellRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,jars/sourceview/src/org/syntax/jedit/JEditTextArea.java,563,656,78,17,"JEditTextArea.xToOffset(int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,jars/treeview/src/treeview/DefaultViewTree.java,898,993,76,15,DefaultViewDropTargetListener.drop(DropTargetDropEvent),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/net/sourceforge/jsxe/dom/DOMSerializer.java,142,242,76,18,"DOMSerializer.write(Node,LSOutput)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,jars/sourceview/src/org/syntax/jedit/JEditTextArea.java,1187,1278,75,11,JEditTextArea.setSelectedText(String),False
