className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/src/main/java/org/apache/logging/log4j/core/layout/RFC5424Layout.java,99,162,60,15,"RFC5424Layout.$constructor(Configuration,Facility,String,int,boolean,boolean,String,String,String,String,String,String,String,Charset,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,flume-ng/src/main/java/org/apache/logging/log4j/flume/appender/FlumeEvent.java,77,139,59,7,"FlumeEvent.$constructor(LogEvent,String,String,String,String,String,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/src/main/java/org/apache/logging/log4j/core/net/SMTPManager.java,76,125,43,14,"SMTPManager.getSMTPManager(String,String,String,String,String,String,String,String,int,String,String,boolean,String,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/src/main/java/org/apache/logging/log4j/core/appender/RollingFileAppender.java,97,152,35,12,"RollingFileAppender.createAppender(String,String,String,String,String,String,TriggeringPolicy,RolloverStrategy,Layout,Filter,String,Configuration)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/src/main/java/org/apache/logging/log4j/core/appender/FailoverAppender.java,182,224,33,7,"FailoverAppender.createAppender(String,String,String[],String,Configuration,Filter,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/src/main/java/org/apache/logging/log4j/core/pattern/PatternParser.java,519,565,33,8,"PatternParser.finalizeConverter(char,String,int,StringBuilder,FormattingInfo,Map,List,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,flume-ng/src/main/java/org/apache/logging/log4j/flume/appender/FlumeAppender.java,129,186,32,18,"FlumeAppender.createAppender(Agent[],Property[],String,String,String,String,String,String,String,String,String,String,String,String,String,FlumeEventFactory,Layout,Filter)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/src/main/java/org/apache/logging/log4j/core/appender/FileAppender.java,66,107,29,9,"FileAppender.createAppender(String,String,String,String,String,String,String,Layout,Filter)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,api/src/main/java/org/apache/logging/log4j/simple/SimpleLogger.java,58,87,25,10,"SimpleLogger.$constructor(String,Level,boolean,boolean,boolean,boolean,String,MessageFactory,PropertiesUtil,PrintStream)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/src/main/java/org/apache/logging/log4j/core/appender/SMTPAppender.java,103,145,22,17,"SMTPAppender.createAppender(String,String,String,String,String,String,String,String,String,String,String,String,String,String,Layout,Filter,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/src/main/java/org/apache/logging/log4j/core/appender/SyslogAppender.java,79,125,20,24,"SyslogAppender.createAppender(String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,Filter,Configuration,String,String)",False
