className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/common/game/RPObject.java,1,1860,921,921,RPObject.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/client/ClientFramework.java,1,739,357,357,ClientFramework.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/server/game/rp/RPServerManager.java,1,624,350,350,RPServerManager.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/common/game/Attributes.java,1,735,345,345,Attributes.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/server/marauroad.java,1,398,193,193,marauroad.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/client/net/PerceptionHandler.java,1,304,166,166,PerceptionHandler.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/server/game/rp/MarauroaRPZone.java,1,407,164,164,MarauroaRPZone.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/server/db/TransactionPool.java,1,229,153,153,TransactionPool.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/server/game/rp/RPWorld.java,1,368,147,147,RPWorld.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/common/Logger.java,1,215,119,119,Logger.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/common/game/RPEvent.java,1,230,117,117,RPEvent.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/common/Configuration.java,1,239,109,109,Configuration.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/common/crypto/Hash.java,1,191,94,94,Hash.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/common/crypto/RSAKey.java,1,147,77,77,RSAKey.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/common/game/IRPZone.java,1,234,54,54,IRPZone.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/server/game/db/DatabaseFactory.java,1,91,52,52,DatabaseFactory.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/server/db/JDBCSQLHelper.java,1,92,48,48,JDBCSQLHelper.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/server/game/db/DAORegister.java,1,118,45,45,DAORegister.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/common/Log4J.java,1,100,42,42,Log4J.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/common/game/AccountResult.java,1,79,23,23,AccountResult.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/server/game/rp/IRPRuleProcessor.java,1,161,21,21,IRPRuleProcessor.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/common/game/CharacterResult.java,1,78,20,20,CharacterResult.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/client/net/IPerceptionListener.java,1,129,16,16,IPerceptionListener.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/marauroa/common/game/RPAction.java,1,38,6,6,RPAction.java,False
