className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java,239,600,261,261,"DefaultLegacyArtifactCollector.recurse(ArtifactResolutionResult,ResolutionNode,Map,ManagedVersionMap,ArtifactResolutionRequest,ArtifactMetadataSource,ArtifactFilter,List,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,maven-core/src/main/java/org/apache/maven/plugin/PluginParameterExpressionEvaluator.java,103,391,242,242,"PluginParameterExpressionEvaluator.evaluate(String,Class)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java,754,1016,209,209,MavenCli.populateRequest(CliRequest),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,maven-compat/src/main/java/org/apache/maven/project/interpolation/StringSearchModelInterpolator.java,148,346,186,186,"InterpolateObjectAction.traverseObjectWithParents(Class,Object)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,maven-compat/src/main/java/org/apache/maven/repository/legacy/DefaultWagonManager.java,275,485,156,156,"DefaultWagonManager.getRemoteFile(ArtifactRepository,File,String,TransferListener,String,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuildingHelper.java,163,371,155,155,"DefaultProjectBuildingHelper.createProjectRealm(MavenProject,Model,ProjectBuildingRequest)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,maven-core/src/main/java/org/apache/maven/project/artifact/MavenMetadataSource.java,540,713,148,148,"MavenMetadataSource.retrieveRelocatedProject(Artifact,MetadataResolutionRequest)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java,335,520,145,145,DefaultArtifactResolver.resolve(ArtifactResolutionRequest),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,maven-plugin-api/src/main/java/org/apache/maven/plugin/descriptor/PluginDescriptorBuilder.java,117,336,138,138,"PluginDescriptorBuilder.buildComponentDescriptor(PlexusConfiguration,PluginDescriptor)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,maven-artifact/src/main/java/org/apache/maven/artifact/versioning/VersionRange.java,308,455,134,134,"VersionRange.intersection(List,List)",False
