className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,mvnforum/src/com/mvnforum/auth/MVNForumPermissionImpl.java,109,545,357,357,MVNForumPermissionImpl.setPermission(int),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,mvnforum/src/com/mvnforum/admin/AdminModuleProcessor.java,130,518,335,335,"AdminModuleProcessor.process(HttpServletRequest,HttpServletResponse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,mvnforum/src/com/mvnforum/user/UserModuleProcessor.java,103,479,325,325,"UserModuleProcessor.process(HttpServletRequest,HttpServletResponse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,mvnforum/src/com/mvnforum/user/ActionInUserModule.java,56,408,312,312,"ActionInUserModule.$constructor(GenericRequest,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,mvnforum/src/com/mvnforum/MVNForumConfig.java,1719,2102,298,298,MVNForumConfig.reload(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,mvnforum/src/com/mvnforum/admin/ConfigurationWebHandler.java,115,459,297,297,ConfigurationWebHandler.updateConfigStepOne(GenericRequest),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,mvnforum/contrib/phpbb2mvnforum-jaxb/src/com/mvnforum/jaxb/ImportExportXML.java,492,794,249,249,ImportExportXML.exportMemberList(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,mvnforum/src/com/mvnforum/user/UserModuleURLMapHandler.java,63,338,243,243,"UserModuleURLMapHandler.getMap(String,GenericRequest,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,mvnforum/src/com/mvnforum/admin/AdminModuleURLMapHandler.java,63,334,240,240,"AdminModuleURLMapHandler.getMap(String,GenericRequest)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,mvnforum/src/com/mvnforum/admin/importexport/mvnforum/ImportMvnForum.java,346,667,235,235,"ImportMvnForum.processXml(File,Calendar)",False
