className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/HTMLScanner.java,2747,2967,193,193,"ContentScanner.scanAttribute(XMLAttributesImpl,boolean[],char)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/HTMLElements.java,182,491,183,183,$block1,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/HTMLTagBalancer.java,546,751,173,173,"HTMLTagBalancer.startElement(QName,XMLAttributes,Augmentations)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/HTMLScanner.java,1941,2082,142,142,ContentScanner.scan(boolean),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/HTMLScanner.java,1291,1414,114,114,"HTMLScanner.scanEntityRef(XMLStringBuffer,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/HTMLScanner.java,2434,2548,106,106,ContentScanner.scanPI(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/HTMLScanner.java,3071,3168,98,98,SpecialScanner.scan(boolean),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/ObjectFactory.java,121,231,84,84,"ObjectFactory.createObject(String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/HTMLScanner.java,2556,2637,81,81,ContentScanner.scanStartElement(boolean[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/HTMLTagBalancer.java,968,1056,68,68,"HTMLTagBalancer.endElement(QName,Augmentations)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/filters/NamespaceBinder.java,386,475,65,65,"NamespaceBinder.bindNamespaces(QName,XMLAttributes)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/HTMLScanner.java,942,1017,63,63,"HTMLScanner.expandSystemId(String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/cyberneko/html/HTMLScanner.java,816,890,62,62,HTMLScanner.setInputSource(XMLInputSource),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/HTMLScanner.java,2374,2431,55,55,"ContentScanner.scanMarkupContent(XMLStringBuffer,char)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/HTMLConfiguration.java,218,303,54,54,HTMLConfiguration.$constructor(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/HTMLScanner.java,1156,1211,53,53,HTMLScanner.scanDoctype(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/filters/Writer.java,331,390,53,53,"Writer.printStartElement(QName,XMLAttributes)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/filters/Writer.java,413,463,51,51,Writer.main(String[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/HTMLScanner.java,2126,2179,50,50,ContentScanner.scanScriptContent(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/HTMLScanner.java,2322,2371,49,49,ContentScanner.scanComment(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/HTMLScanner.java,1518,1567,49,49,HTMLScanner.skipNewlines(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/sample/Script.java,165,217,49,49,"Script.endElement(QName,Augmentations)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/HTMLScanner.java,1442,1489,48,48,HTMLScanner.skipMarkup(boolean),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/HTMLScanner.java,2273,2319,47,47,ContentScanner.scanCDATA(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/HTMLScanner.java,2660,2711,47,47,ContentScanner.changeEncoding(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/HTMLScanner.java,1809,1854,46,46,"CurrentEntity.debugBufferIfNeeded(String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/HTMLScanner.java,3175,3223,43,43,"SpecialScanner.scanCharacters(XMLStringBuffer,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/cyberneko/html/HTMLScanner.java,2223,2270,43,43,ContentScanner.scanCharacters(),False
