className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,modules/proxygen-plugin/src/main/java/org/exolab/jms/plugins/proxygen/ProxyGenerator.java,292,444,133,133,"ProxyGenerator.generateMethod(Method,SourceWriter)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,modules/tools/src/main/java/org/exolab/jms/tools/admin/AdminMgr.java,427,561,94,94,AdminMgr.setupCallbacks(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,modules/net/src/main/java/org/exolab/jms/net/uri/URI.java,787,1077,92,92,"URI.initialize(URI,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,modules/tools/src/main/java/org/exolab/jms/tools/db/DBTool.java,223,308,85,85,DBTool.main(String[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,modules/tools/src/main/java/org/exolab/jms/tools/admin/CreateUserDialog.java,121,225,84,84,CreateUserDialog.initComponents(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,modules/tools/src/main/java/org/exolab/jms/tools/admin/AdminMgr.java,160,252,83,83,AdminMgr.initComponents(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,modules/tools/src/main/java/org/exolab/jms/tools/admin/ChangePasswordDialog.java,116,216,82,82,ChangePasswordDialog.initComponents(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,modules/jms/src/main/java/org/exolab/jms/tranlog/TransactionLog.java,344,438,78,78,TransactionLog.getOpenTransactionList(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,modules/common/src/main/java/org/exolab/jms/common/uuid/UUIDGenerator.java,575,677,74,74,UUIDGenerator.createTimeUUIDChars(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,modules/tools/src/main/java/org/exolab/jms/tools/admin/CreateConsumerDialog.java,130,219,74,74,CreateConsumerDialog.initComponents(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,modules/tools/src/main/java/org/exolab/jms/tools/admin/CreateLogonDialog.java,168,252,69,69,CreateLogonDialog.initComponents(),False
