className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/picocontainer/injectors/ConstructorInjector.java,126,198,65,65,ConstructorInjector.getGreediestSatisfiableConstructor(PicoContainer),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,org/picocontainer/parameters/BasicComponentParameter.java,153,224,62,62,"BasicComponentParameter.resolveAdapter(PicoContainer,ComponentAdapter,Class,NameBinding,boolean,Annotation)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/picocontainer/injectors/AdaptingInjection.java,49,113,49,49,"AdaptingInjection.createComponentAdapter(ComponentMonitor,LifecycleStrategy,Properties,Object,Class,Parameter[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/picocontainer/injectors/ConstructorInjector.java,301,344,42,42,"ConstructorInjector.getComponentInstance(PicoContainer,Type)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/picocontainer/behaviors/PropertyApplicator.java,187,225,39,39,"PropertyApplicator.convert(String,String,ClassLoader)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/picocontainer/parameters/BasicComponentParameter.java,67,113,38,38,"BasicComponentParameter.resolve(PicoContainer,ComponentAdapter,ComponentAdapter,Type,NameBinding,boolean,Annotation)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/picocontainer/injectors/FactoryInjector.java,75,119,36,36,"FactoryInjector.getTypeArguments(Class,Class)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/picocontainer/visitors/AbstractPicoVisitor.java,31,63,33,33,AbstractPicoVisitor.traverse(Object),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/picocontainer/DefaultPicoContainer.java,520,557,32,32,"DefaultPicoContainer.addComponent(Object,Object,Properties,Parameter[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/picocontainer/injectors/MethodInjector.java,77,110,32,32,"MethodInjector.getComponentInstance(PicoContainer,Type)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/picocontainer/parameters/ComponentParameter.java,115,151,32,32,"ComponentParameter.resolve(PicoContainer,ComponentAdapter,ComponentAdapter,Type,NameBinding,boolean,Annotation)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/picocontainer/DefaultPicoContainer.java,673,708,31,31,"DefaultPicoContainer.getInstance(ComponentAdapter,Class)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,org/picocontainer/DefaultPicoContainer.java,370,404,31,31,"DefaultPicoContainer.getComponentAdapter(Class,NameBinding,Class)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,org/picocontainer/parameters/CollectionComponentParameter.java,123,156,30,30,"CollectionComponentParameter.resolve(PicoContainer,ComponentAdapter,ComponentAdapter,Type,NameBinding,boolean,Annotation)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,org/picocontainer/injectors/IterativeInjector.java,153,181,29,29,"IterativeInjector.decorateComponentInstance(Parameter[],ComponentMonitor,Object,PicoContainer,PicoContainer)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,org/picocontainer/injectors/IterativeInjector.java,185,212,28,28,"IterativeInjector.makeInstance(PicoContainer,Constructor,ComponentMonitor)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,org/picocontainer/PicoBuilder.java,137,172,27,27,PicoBuilder.build(),False
