className,category,severity,filename,startLine,endLine,lineRanges,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/proguard/classfile/editor/CodeAttributeComposer.java,1,0,"[{'startLine': 212, 'endLine': 212}, {'startLine': 288, 'endLine': 288}, {'startLine': 364, 'endLine': 364}]",3,3,CodeAttributeComposer.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/proguard/ant/ConfigurationTask.java,1,0,"[{'startLine': 296, 'endLine': 296}]",1,1,ConfigurationTask.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/proguard/ClassSpecification.java,1,0,"[{'startLine': 223, 'endLine': 223}, {'startLine': 237, 'endLine': 237}]",2,2,ClassSpecification.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/proguard/ConfigurationParser.java,1,0,"[{'startLine': 472, 'endLine': 472}]",1,1,ConfigurationParser.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/proguard/Initializer.java,1,0,"[{'startLine': 145, 'endLine': 145}]",1,1,Initializer.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/proguard/classfile/attribute/annotation/visitor/ElementValueVisitor.java,1,0,"[{'startLine': 40, 'endLine': 50}]",1,1,ElementValueVisitor.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/proguard/classfile/editor/ClassElementSorter.java,1,0,"[{'startLine': 39, 'endLine': 39}, {'startLine': 49, 'endLine': 49}]",2,2,ClassElementSorter.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/proguard/ant/ClassPathElement.java,1,0,"[{'startLine': 104, 'endLine': 110}]",1,1,ClassPathElement.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/proguard/classfile/editor/MemberAdder.java,1,0,"[{'startLine': 50, 'endLine': 50}, {'startLine': 86, 'endLine': 86}, {'startLine': 99, 'endLine': 100}]",3,3,MemberAdder.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidateWithCategory,BLOCKS_OF_CODE_IN_COMMENTS,VERY_HIGH,src/proguard/classfile/attribute/Attribute.java,1,0,"[{'startLine': 37, 'endLine': 38}]",1,1,Attribute.java,False
