className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/optimize/Optimizer.java,127,940,618,97,"Optimizer.execute(ClassPool,ClassPool)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/evaluation/Processor.java,74,549,366,115,"Processor.visitSimpleInstruction(Clazz,Method,CodeAttribute,int,SimpleInstruction)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/classfile/instruction/InstructionFactory.java,34,299,232,203,"InstructionFactory.create(byte[],int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/optimize/evaluation/EvaluationShrinker.java,175,488,211,57,"EvaluationShrinker.visitCodeAttribute0(Clazz,Method,CodeAttribute)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/retrace/ReTrace.java,109,349,183,36,ReTrace.execute(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/optimize/evaluation/PartialEvaluator.java,618,891,182,32,"PartialEvaluator.evaluateSingleInstructionBlock(Clazz,Method,CodeAttribute,TracedVariables,TracedStack,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/ConfigurationParser.java,738,971,176,36,"ConfigurationParser.parseMemberSpecificationArguments(String,ClassSpecification)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/evaluation/value/ReferenceValue.java,217,399,134,36,ReferenceValue.generalize(ReferenceValue),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/ConfigurationParser.java,557,735,125,30,ConfigurationParser.parseClassSpecificationArguments(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/optimize/evaluation/EvaluationShrinker.java,726,900,116,29,"MyStackConsistencyFixer.visitAnyInstruction(Clazz,Method,CodeAttribute,int,Instruction)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/WordReader.java,112,271,109,33,WordReader.nextWord(boolean),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/gui/FilterBuilder.java,72,207,106,27,"FilterBuilder.buildFilter(String,StringBuffer,StringBuffer)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/optimize/peephole/BranchTargetFinder.java,313,452,101,28,"BranchTargetFinder.visitCodeAttribute(Clazz,Method,CodeAttribute)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/optimize/evaluation/LivenessAnalyzer.java,189,340,99,26,"LivenessAnalyzer.visitCodeAttribute(Clazz,Method,CodeAttribute)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/optimize/peephole/ClassMerger.java,141,314,96,39,ClassMerger.visitProgramClass0(ProgramClass),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/OutputWriter.java,54,171,95,32,OutputWriter.execute(ClassPool),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/gui/ProGuardGUI.java,1092,1218,94,40,ProGuardGUI.getProGuardConfiguration(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/evaluation/Processor.java,632,741,90,53,"Processor.visitVariableInstruction(Clazz,Method,CodeAttribute,int,VariableInstruction)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/ProGuard.java,61,161,80,26,ProGuard.execute(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/optimize/evaluation/EvaluationSimplifier.java,162,240,74,60,"EvaluationSimplifier.visitSimpleInstruction(Clazz,Method,CodeAttribute,int,SimpleInstruction)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/optimize/evaluation/EvaluationShrinker.java,1291,1383,72,45,"MyStackConsistencyFixer.fixedDup2_x2(int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/optimize/evaluation/EvaluationShrinker.java,1102,1191,71,44,"MyStackConsistencyFixer.fixedDup_x2(int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/ConfigurationParser.java,141,220,66,58,ConfigurationParser.parse(Configuration),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/proguard/optimize/evaluation/EvaluationSimplifier.java,243,301,51,32,"EvaluationSimplifier.visitVariableInstruction(Clazz,Method,CodeAttribute,int,VariableInstruction)",False
