className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/JobStoreSupport.java,1162,1248,73,8,"JobStoreSupport.storeTrigger(Connection,SchedulingContext,Trigger,JobDetail,boolean,String,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/impl/DirectSchedulerFactory.java,366,437,41,9,"DirectSchedulerFactory.createScheduler(String,String,ThreadPool,JobStore,Map,String,int,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/impl/calendar/DailyCalendar.java,752,802,39,8,"DailyCalendar.setTimeRange(int,int,int,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/SchedulerMetaData.java,79,99,17,15,"SchedulerMetaData.$constructor(String,String,Class,boolean,boolean,boolean,boolean,Date,int,Class,boolean,boolean,Class,int,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/CronTrigger.java,432,451,16,8,"CronTrigger.$constructor(String,String,String,String,Date,Date,String,TimeZone)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/StdJDBCDelegate.java,1498,1517,15,7,"StdJDBCDelegate.updateTriggerStateFromOtherStates(Connection,String,String,String,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/CronTrigger.java,376,392,12,7,"CronTrigger.$constructor(String,String,String,String,Date,Date,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/impl/calendar/DailyCalendar.java,163,180,11,8,"DailyCalendar.$constructor(int,int,int,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/impl/calendar/DailyCalendar.java,218,236,11,9,"DailyCalendar.$constructor(Calendar,int,int,int,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/spi/TriggerFiredBundle.java,70,81,10,8,"TriggerFiredBundle.$constructor(JobDetail,Trigger,Calendar,boolean,Date,Date,Date,Date)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/DateIntervalTrigger.java,221,230,7,8,"DateIntervalTrigger.$constructor(String,String,String,String,Date,Date,IntervalUnit,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/SimpleTrigger.java,337,346,7,8,"SimpleTrigger.$constructor(String,String,String,String,Date,Date,int,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/impl/DirectSchedulerFactory.java,327,337,7,8,"DirectSchedulerFactory.createScheduler(String,String,ThreadPool,JobStore,String,int,long,long)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/DriverDelegate.java,667,670,0,7,"DriverDelegate.updateTriggerStateFromOtherStates(Connection,String,String,String,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/JobStoreSupport.java,2966,3040,66,5,"JobStoreSupport.triggeredJobComplete(Connection,SchedulingContext,Trigger,JobDetail,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/JobStoreSupport.java,1670,1716,40,6,"JobStoreSupport.storeCalendar(Connection,SchedulingContext,String,Calendar,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/StdJDBCDelegate.java,289,317,25,6,"StdJDBCDelegate.selectMisfiredTriggersInStates(Connection,String,String,long,int,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/simpl/RAMJobStore.java,579,613,25,5,"RAMJobStore.storeCalendar(SchedulingContext,String,Calendar,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/utils/PoolingConnectionProvider.java,146,179,25,6,"PoolingConnectionProvider.initialize(String,String,String,String,int,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/JobStoreSupport.java,2216,2249,23,5,"JobStoreSupport.checkBlockedState(Connection,SchedulingContext,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/JobStoreSupport.java,1490,1520,23,5,"JobStoreSupport.replaceTrigger(Connection,SchedulingContext,String,String,Trigger)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/TriggerUtils.java,1214,1237,19,6,"TriggerUtils.getDateOf(int,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/JobStoreSupport.java,967,997,19,6,"JobStoreSupport.updateMisfiredTrigger(Connection,SchedulingContext,String,String,String,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/TriggerUtils.java,1171,1192,17,5,"TriggerUtils.getDateOf(int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/core/QuartzSchedulerThread.java,107,127,15,5,"QuartzSchedulerThread.$constructor(QuartzScheduler,QuartzSchedulerResources,SchedulingContext,boolean,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/JobStoreSupport.java,999,1016,15,6,"JobStoreSupport.doUpdateOfMisfiredTrigger(Connection,SchedulingContext,Trigger,boolean,String,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/StdJDBCDelegate.java,1559,1577,15,6,"StdJDBCDelegate.updateTriggerGroupStateFromOtherStates(Connection,String,String,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/core/QuartzSchedulerMBeanImpl.java,206,220,14,5,"QuartzSchedulerMBeanImpl.scheduleJob(String,String,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/JobStoreSupport.java,1298,1315,14,5,"JobStoreSupport.removeJob(Connection,SchedulingContext,String,String,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,quartz/src/main/java/org/quartz/impl/jdbcjobstore/StdJDBCDelegate.java,1682,1699,14,5,"StdJDBCDelegate.updateTriggerStatesForJobFromOtherState(Connection,String,String,String,String)",False
