className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-business/src/main/java/org/apache/roller/weblogger/business/startup/DatabaseInstaller.java,694,1119,281,281,"DatabaseInstaller.upgradeTo400(Connection,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/PageServlet.java,121,507,265,265,"PageServlet.doGet(HttpServletRequest,HttpServletResponse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-business/src/main/java/org/apache/roller/weblogger/util/MailUtil.java,264,491,164,164,"MailUtil.sendEmailNotification(WeblogEntryComment,RollerMessages,I18nMessages,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-business/src/main/java/org/apache/roller/weblogger/util/HTMLSanitizer.java,115,357,157,157,"HTMLSanitizer.sanitizer(String,Pattern,Pattern)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/CommentServlet.java,157,376,150,150,"CommentServlet.doPost(HttpServletRequest,HttpServletResponse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/FeedServlet.java,84,326,150,150,"FeedServlet.doGet(HttpServletRequest,HttpServletResponse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/PreviewServlet.java,76,274,126,126,"PreviewServlet.doGet(HttpServletRequest,HttpServletResponse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-business/src/main/java/org/apache/roller/weblogger/business/themes/ThemeManagerImpl.java,187,350,122,122,"ThemeManagerImpl.importTheme(Weblog,SharedTheme)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/core/tags/calendar/CalendarTag.java,111,259,109,109,CalendarTag.doStartTag(PrintWriter),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/PlanetFeedServlet.java,74,221,107,107,"PlanetFeedServlet.doGet(HttpServletRequest,HttpServletResponse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/rendering/util/WeblogPageRequest.java,77,256,106,106,WeblogPageRequest.$constructor(HttpServletRequest),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/rendering/WeblogRequestMapper.java,244,387,105,105,"WeblogRequestMapper.calculateForwardUrl(HttpServletRequest,String,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/SearchServlet.java,76,242,104,104,"SearchServlet.doGet(HttpServletRequest,HttpServletResponse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-business/src/main/java/org/apache/roller/weblogger/business/jpa/JPARefererManagerImpl.java,366,500,102,102,"JPARefererManagerImpl.processReferrer(String,String,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/MediaCollection.java,243,357,102,102,MediaCollection.getCollection(AtomRequest),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/webservices/tagdata/TagDataServlet.java,67,181,101,101,"TagDataServlet.doGet(HttpServletRequest,HttpServletResponse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-business/src/main/java/org/apache/roller/weblogger/business/themes/SharedThemeFromDir.java,189,331,95,95,SharedThemeFromDir.loadThemeFromDisk(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-business/src/main/java/org/apache/roller/weblogger/business/jpa/JPAMediaFileManagerImpl.java,523,627,94,94,"JPAMediaFileManagerImpl.searchMediaFiles(Weblog,MediaFileFilter)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/TrackbackServlet.java,89,225,93,93,"TrackbackServlet.doPost(HttpServletRequest,HttpServletResponse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/core/util/menu/MenuHelper.java,97,223,92,92,"MenuHelper.buildMenu(ParsedMenu,String,User,Weblog)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-business/src/main/java/org/apache/roller/weblogger/business/jpa/JPAWeblogManagerImpl.java,125,252,87,87,JPAWeblogManagerImpl.removeWebsiteContents(Weblog),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/rendering/WeblogRequestMapper.java,87,235,87,87,"WeblogRequestMapper.handleRequest(HttpServletRequest,HttpServletResponse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-business/src/main/java/org/apache/roller/weblogger/business/jpa/JPAWeblogEntryManagerImpl.java,526,661,86,86,"JPAWeblogEntryManagerImpl.getWeblogEntries(Weblog,User,Date,Date,String,List,String,String,String,String,String,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/core/security/CustomUserRegistry.java,60,172,83,83,CustomUserRegistry.getUserDetailsFromAuthentication(HttpServletRequest),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/webservices/adminprotocol/sdk/WeblogEntry.java,164,271,83,83,WeblogEntry.toDocument(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/EntryCollection.java,146,234,83,83,EntryCollection.getCollection(AtomRequest),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-business/src/main/java/org/apache/roller/weblogger/planet/business/WebloggerRomeFeedFetcher.java,60,171,82,82,"WebloggerRomeFeedFetcher.fetchSubscription(String,Date)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/PreviewResourceServlet.java,74,185,82,82,"PreviewResourceServlet.doGet(HttpServletRequest,HttpServletResponse)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,weblogger-web/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/Comments.java,278,403,81,81,Comments.update(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,planet-business/src/main/java/org/apache/roller/planet/tasks/TechnoratiRankingsTask.java,46,134,80,80,TechnoratiRankingsTask.run(),False
