className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/sablecc/sablecc/GenParser.java,84,121,31,7,"GenParser.$constructor(ResolveIds,ResolveAltIds,ResolveTransformIds,String,boolean,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/sablecc/sablecc/GenerateAlternativeCodeForParser.java,33,55,13,11,"GenerateAlternativeCodeForParser.$constructor(File,String,String,BufferedWriter,ResolveTransformIds,ComputeCGNomenclature,ComputeSimpleTermPosition,Map,MacroExpander,LinkedList,Map)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/sablecc/sablecc/node/AGrammar.java,21,47,12,7,"AGrammar.$constructor(List,PHelpers,PStates,PTokens,PIgnTokens,PProductions,PAst)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/sablecc/sablecc/InternalTransformationsToGrammar.java,56,70,9,7,"InternalTransformationsToGrammar.$constructor(ResolveIds,ResolveAltIds,ResolveTransformIds,LinkedList,Map,Map,Map)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/sablecc/sablecc/AltTransformAdapter.java,26,38,8,6,"AltTransformAdapter.$constructor(Map,LinkedList,String,ResolveAltIds,Map,Map)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,src/org/sablecc/sablecc/node/ATokenDef.java,19,36,7,5,"ATokenDef.$constructor(PStateList,TId,PRegExp,TSlash,PRegExp)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/sablecc/sablecc/InternalTransformationsToGrammar.java,452,631,136,4,"InternalTransformationsToGrammar.createXelemProduction(String,String,String,LinkedList)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/sablecc/sablecc/ResolveTransformIds.java,937,993,54,4,"ResolveTransformIds.checkTypeCompability(String,String,PUnOp,Token)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/sablecc/sablecc/Inlining.java,405,469,51,3,"Inlining.inlineList(LinkedList,AElem[],Map)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/sablecc/sablecc/In_Production.java,89,141,42,3,"In_Alternative.$constructor(AAlt,String[],String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/sablecc/sablecc/DFA.java,83,133,39,3,"DFA.match(int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/sablecc/sablecc/MacroExpander.java,70,110,35,3,"MacroExpander.apply(BufferedWriter,String,String[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/sablecc/sablecc/Grammar.java,342,377,30,3,"Grammar.FIRST(Symbol[],int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/sablecc/sablecc/GenProds.java,93,124,28,3,"GenProds.createAlternative(String,String,String[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/sablecc/sablecc/LR0Collection.java,41,69,23,3,"LR0Collection.add(LR0ItemSet,int,Symbol)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/sablecc/sablecc/Symbol.java,33,56,21,3,"Symbol.$constructor(String,String,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/sablecc/sablecc/node/AProd.java,18,38,12,4,"AProd.$constructor(TId,TArrow,List,List)",False
