className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/util/outliner/OutlineUtil.java,1149,1991,696,164,"OutlineUtil.createOutlineFunction(InstructionHandle,InstructionHandle,LiveVar[],LiveVar[],LiveVar[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/util/newexprtree/ExprTreeCFG.java,784,1546,660,139,ExprTreeCFG.buildTrees(ArrayList[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/analysis/stacksimulator/StackSimulator.java,1128,1727,564,137,"StackSimulator.doArithmetic(InstructionHandle,Context)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/analysis/stacksimulator/StackSimulator.java,442,979,498,158,"StackSimulator.execute(InstructionHandle,Context)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/obfuscate/ArrayObfuscation/IntArraySplitter.java,1230,1682,392,76,"IntArraySplitter.split(int,int,int,byte)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/util/outliner/OutlineUtil.java,2015,2346,281,64,"OutlineUtil.unpackLocals(InstructionHandle,LiveVar[],LiveVar[],int,Method)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/newstatistics/Stats.java,45,391,279,75,Stats.$constructor(Application),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/obfuscate/ArrayObfuscation/ArraySplitter.java,53,392,277,32,"ArraySplitter.patchInstruction(InstructionHandle,Method,ArrayList,ArrayList,ClassHierarchy)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/util/newexprtree/ExprTreeCFG.java,1708,2003,250,26,ExprTreeCFG.fixInstructions(StackSimulator),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/obfuscate/irreducibility/Irreducibility.java,87,350,242,75,Irreducibility.apply(Method),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/obfuscate/exceptionbranches/ExceptionBranches.java,103,439,240,42,ExceptionBranches.apply(Method),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/util/opaquepredicatelib/ExprTree.java,342,614,239,63,"ExprTree.getInstructionLists(Method,Object[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/obfuscate/ArrayObfuscation/ArrayFolder.java,452,759,236,80,"ArrayFolder.canFold(Field[],HashSet[],Application,ClassHierarchy,HashSet[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/newstatistics/CFGwidth.java,68,339,228,79,CFGwidth.evaluate(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/watermark/gtw/GTW.java,77,325,228,45,GTW.embed(StaticEmbedParameters),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/util/newexprtree/ExprTreeCFG.java,401,664,224,84,"ExprTreeCFG.buildArithmetic(Instruction,ArrayList,Stack)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/watermark/execpath/Tracer.java,43,311,198,42,"Tracer.$constructor(Application,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/util/stealth/Cluster.java,258,484,192,86,Cluster.main(String[]),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/watermark/objectwm/ObjectUtil.java,48,289,192,68,ObjectUtil.extractInstrType(String),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/util/exprtree/ExprTree.java,145,375,188,73,ExprTree.doBlock(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/util/newexprtree/ComputeExprTree.java,144,374,188,73,ComputeExprTree.doBlock(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/analysis/stacksimulator/StackSimulator.java,178,412,171,35,"StackSimulator.simulate(BasicBlock,Context)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/obfuscate/ArrayObfuscation/ArrayFolder.java,93,288,162,26,"ArrayFolder.patchInstructions(Method,int[],Field[],HashSet[],HashSet[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/sandmark/watermark/arboit/AlgOP.java,1894,2061,161,37,"AlgOP.check9(ArrayList,int)",False
