className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/compiler/JspDocumentParser.java,813,1140,309,7,"JspDocumentParser.parseStandardAction(String,String,Attributes,Attributes,Attributes,Mark,Node)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/core/src/main/java/org/apache/struts2/views/util/UrlHelper.java,80,193,78,9,"UrlHelper.buildUrl(String,HttpServletRequest,HttpServletResponse,Map,String,boolean,boolean,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/compiler/JspDocumentParser.java,137,223,65,10,"JspDocumentParser.parse(ParserController,String,JarFile,Node,boolean,boolean,String,String,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/portlet/src/main/java/org/apache/struts2/portlet/util/PortletUrlHelper.java,75,146,65,10,"PortletUrlHelper.buildUrl(String,String,String,Map,String,String,String,String,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/compiler/JspDocumentParser.java,1146,1217,57,8,"JspDocumentParser.parseCustomAction(String,String,String,Attributes,Attributes,Attributes,Mark,Node)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/compiler/TagLibraryInfoImpl.java,133,201,57,7,"TagLibraryInfoImpl.$constructor(JspCompilationContext,ParserController,PageInfo,String,String,String[],ErrorDispatcher)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/compiler/Validator.java,1277,1358,55,8,"ValidateVisitor.getJspAttribute(TagAttributeInfo,String,String,String,String,Class,Node,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/convention/src/main/java/org/apache/struts2/convention/DefaultResultMapBuilder.java,244,304,50,7,"DefaultResultMapBuilder.createFromResources(Class,Map,String,String,String,PackageConfig,Map)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/xwork-core/src/main/java/com/opensymphony/xwork2/util/LocalizedTextUtil.java,766,832,44,7,"LocalizedTextUtil.findMessage(Class,String,String,Locale,Object[],Set,ValueStack)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/portlet/src/main/java/org/apache/struts2/portlet/dispatcher/Jsr168Dispatcher.java,418,462,41,8,"Jsr168Dispatcher.serviceAction(PortletRequest,PortletResponse,Map,Map,Map,Map,String,Integer)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/portlet/src/main/java/org/apache/struts2/portlet/dispatcher/Jsr168Dispatcher.java,354,400,33,11,"Jsr168Dispatcher.createContextMap(Map,Map,Map,Map,PortletRequest,PortletResponse,HttpServletRequest,HttpServletResponse,ServletContext,PortletConfig,Integer)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/core/src/main/java/org/apache/struts2/interceptor/FileUploadInterceptor.java,350,387,31,7,"FileUploadInterceptor.acceptFile(Object,File,String,String,String,ValidationAware,Locale)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/runtime/PageContextImpl.java,128,174,31,7,"PageContextImpl._initialize(Servlet,ServletRequest,ServletResponse,String,boolean,int,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/compiler/Parser.java,112,145,25,10,"Parser.parse(ParserController,JspReader,Node,boolean,boolean,URL,String,String,boolean,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/runtime/JspFactoryImpl.java,96,122,24,7,"JspFactoryImpl.internalGetPageContext(Servlet,ServletRequest,ServletResponse,String,boolean,int,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/core/src/main/java/org/apache/struts2/dispatcher/Dispatcher.java,557,593,23,7,"Dispatcher.createContextMap(Map,Map,Map,Map,HttpServletRequest,HttpServletResponse,ServletContext)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/compiler/Node.java,1465,1491,22,11,"CustomTag.$constructor(String,String,String,String,Attributes,Attributes,Attributes,Mark,Node,TagInfo,Class)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/JspCompilationContext.java,101,132,20,7,"JspCompilationContext.$constructor(String,boolean,Options,ServletContext,JspServletWrapper,JspRuntimeContext,ClassLoaderInterface)",False
