className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,WCTCore/src-app/org/webcurator/ui/target/controller/TargetSeedsHandler.java,205,595,292,54,"TargetSeedsHandler.processOther(TabbedController,Tab,HttpServletRequest,HttpServletResponse,Object,BindException)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,WCTCore/src-app/org/webcurator/ui/tools/controller/TreeToolController.java,151,513,251,47,"TreeToolController.handle(HttpServletRequest,HttpServletResponse,Object,BindException)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,WCTDigitalAssetStore/src/org/webcurator/core/store/arc/ArcDigitalAssetStoreService.java,340,641,229,48,"ArcDigitalAssetStoreService.copyAndPrune(String,int,int,List,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,WCTCore/src-app/org/webcurator/core/targets/TargetManagerImpl.java,126,427,200,56,"TargetManagerImpl.save(Target,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,WCTCore/src-app/org/webcurator/core/targets/TargetManagerImpl.java,457,714,186,44,"TargetManagerImpl.save(TargetGroup,List)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,WCTCore/src-app/org/webcurator/bl/TargetAPISOAPService.java,266,461,152,28,TargetAPISOAPService.getTargetSite(XPathReader),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,WCTCore/src-app/org/webcurator/ui/target/controller/LogReaderController.java,73,232,140,26,"LogReaderController.handle(HttpServletRequest,HttpServletResponse,Object,BindException)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,WCTCore/src-app/org/webcurator/domain/TargetInstanceDAOImpl.java,284,391,93,26,"TargetInstanceDAOImpl.search(TargetInstanceCriteria,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,WCTCore/src-app/org/webcurator/core/targets/TargetManagerImpl.java,1321,1461,92,26,"TargetManagerImpl.createTargetInstances(AbstractTarget,Schedule,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,WCTCore/src-app/org/webcurator/domain/SiteDAOImpl.java,201,298,78,35,"SiteDAOImpl.search(SiteCriteria,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,WCTCore/src-app/org/webcurator/ui/target/controller/QueueController.java,159,343,149,25,"QueueController.processFilter(HttpServletRequest,HttpServletResponse,TargetInstanceCommand,BindException)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,WCTCore/src-app/org/webcurator/ui/admin/controller/CreateUserController.java,84,240,128,15,"CreateUserController.processFormSubmission(HttpServletRequest,HttpServletResponse,Object,BindException)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,WCTCore/src-app/org/webcurator/ui/target/controller/TargetInstanceResultHandler.java,126,267,110,24,"TargetInstanceResultHandler.processOther(TabbedController,Tab,HttpServletRequest,HttpServletResponse,Object,BindException)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,WCTCore/src-app/org/webcurator/core/report/impl/TargetGroupSchedulesReport.java,81,212,108,16,"TargetGroupSchedulesReport.runReport(String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,WCTCore/src-app/org/webcurator/ui/target/controller/TargetSchedulesHandler.java,135,273,107,17,"TargetSchedulesHandler.processOther(TabbedController,Tab,HttpServletRequest,HttpServletResponse,Object,BindException)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,HIGH,WCTCore/src-app/org/webcurator/domain/model/core/ProfileOverrides.java,190,315,106,24,ProfileOverrides.apply(HeritrixProfile),False
