className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/net/wastl/webmail/misc/MD5.java,197,200,4,7,"MD5.FF(int,int,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/net/wastl/webmail/misc/MD5.java,207,210,4,7,"MD5.HH(int,int,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/net/wastl/webmail/misc/MD5.java,212,215,4,7,"MD5.II(int,int,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/net/wastl/webmail/misc/MD5.java,202,205,4,7,"MD5.GG(int,int,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/net/wastl/webmail/plugins/SendMessage.java,109,447,221,3,"SendMessage.handleURL(String,HTTPSession,HTTPRequestHeader)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/net/wastl/webmail/misc/MD5.java,239,325,77,3,"MD5.Transform(MD5State,byte[],int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/net/wastl/webmail/plugins/FolderSetup.java,77,163,74,3,"FolderSetup.handleURL(String,HTTPSession,HTTPRequestHeader)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/net/wastl/webmail/storage/simple/SimpleStorage.java,241,311,58,4,"SimpleStorage.getUserData(String,String,String,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/net/wastl/webmail/plugins/FileAttacher.java,78,162,44,3,"FileAttacher.handleURL(String,HTTPSession,HTTPRequestHeader)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/net/wastl/webmail/storage/simple/SimpleStorage.java,184,230,44,3,"SimpleStorage.createUserData(String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/net/wastl/webmail/plugins/Composer.java,79,129,38,3,"Composer.handleURL(String,HTTPSession,HTTPRequestHeader)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/net/wastl/webmail/authenticators/UnixAuthenticator.java,43,82,34,3,"UnixAuthenticator.authenticatePreUserData(String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/webengruven/webmail/authenticators/OTPAuthenticator.java,221,270,34,3,"OTPAuthenticator.changePassword(UserData,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/org/webengruven/webmail/authenticators/OTPAuthenticator.java,176,218,29,3,"OTPAuthenticator.authenticatePostUserData(UserData,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/net/wastl/webmail/plugins/FolderList.java,77,106,28,3,"FolderList.handleURL(String,HTTPSession,HTTPRequestHeader)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,MEDIUM,src/net/wastl/webmail/plugins/ShowMessage.java,73,103,28,3,"ShowMessage.handleURL(String,HTTPSession,HTTPRequestHeader)",False
