className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/impl/dtd/XMLDTDProcessor.java,852,1064,148,8,"XMLDTDProcessor.attributeDecl(String,String,String,String[],String,XMLString,XMLString,Augmentations)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/parsers/AbstractDOMParser.java,2366,2507,102,8,"AbstractDOMParser.attributeDecl(String,String,String,String[],String,XMLString,XMLString,Augmentations)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/impl/dtd/DTDGrammar.java,560,663,75,8,"DTDGrammar.attributeDecl(String,String,String,String[],String,XMLString,XMLString,Augmentations)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/impl/xs/traversers/XSDElementTraverser.java,144,222,61,7,"XSDElementTraverser.traverseLocal(XSParticleDecl,Element,XSDocumentInfo,SchemaGrammar,int,XSObject,String[])",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,samples/xni/DocumentTracer.java,695,754,54,8,"DocumentTracer.attributeDecl(String,String,String,String[],String,XMLString,XMLString,Augmentations)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,samples/ui/TreeView.java,539,582,37,7,"XMLTreeCellRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/parsers/AbstractSAXParser.java,904,948,36,8,"AbstractSAXParser.attributeDecl(String,String,String,String[],String,XMLString,XMLString,Augmentations)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/impl/xs/XSConstraints.java,1295,1345,35,8,"XSConstraints.checkRecurseUnordered(Vector,int,int,SubstitutionGroupHandler,Vector,int,int,SubstitutionGroupHandler)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/impl/xs/XSConstraints.java,1248,1293,34,8,"XSConstraints.checkRecurse(Vector,int,int,SubstitutionGroupHandler,Vector,int,int,SubstitutionGroupHandler)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/dom/DOMNormalizer.java,1306,1345,33,7,"DOMNormalizer.isAttrValueWF(DOMErrorHandler,DOMErrorImpl,DOMLocatorImpl,NamedNodeMap,Attr,String,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/util/URI.java,415,453,32,7,"URI.$constructor(String,String,String,int,String,String,String)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/dom/DeferredDocumentImpl.java,423,469,28,7,"DeferredDocumentImpl.setDeferredAttribute(int,String,String,String,boolean,boolean,Object)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/impl/xs/XSConstraints.java,1347,1387,27,8,"XSConstraints.checkRecurseLax(Vector,int,int,SubstitutionGroupHandler,Vector,int,int,SubstitutionGroupHandler)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/jaxp/datatype/DurationImpl.java,217,253,25,7,"DurationImpl.$constructor(boolean,BigInteger,BigInteger,BigInteger,BigInteger,BigInteger,BigDecimal)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/impl/xs/XSConstraints.java,1389,1436,24,8,"XSConstraints.checkMapAndSum(Vector,int,int,SubstitutionGroupHandler,Vector,int,int,SubstitutionGroupHandler)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/jaxp/datatype/XMLGregorianCalendarImpl.java,604,650,22,8,"XMLGregorianCalendarImpl.$constructor(int,int,int,int,int,int,int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/impl/dv/xs/XSSimpleTypeDecl.java,319,344,21,9,"XSSimpleTypeDecl.$constructor(XSSimpleTypeDecl,String,short,short,boolean,boolean,boolean,boolean,short)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/impl/xs/XSConstraints.java,1215,1246,19,8,"XSConstraints.checkNSRecurseCheckCardinality(Vector,int,int,SubstitutionGroupHandler,XSParticleDecl,int,int,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/jaxp/datatype/XMLGregorianCalendarImpl.java,531,585,17,8,"XMLGregorianCalendarImpl.$constructor(BigInteger,int,int,int,int,int,BigDecimal,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/impl/dtd/XMLSimpleType.java,113,134,16,8,"XMLSimpleType.setValues(short,String,String[],boolean,short,String,String,DatatypeValidator)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/org/apache/xerces/impl/xs/XSConstraints.java,1164,1186,15,7,"XSConstraints.checkNSCompat(XSElementDecl,int,int,XSWildcardDecl,int,int,boolean)",False
