CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
194504,STCAL: Static use of type Calendar or DateFormat,Medium,New,10/17/17,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Multithreaded correctness,/src/main/org/apache/tools/ant/util/DateUtils.java,
338704,Dm: Dubious method used,Low,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/apache/tools/ant/taskdefs/SQLExec.java,SQLExec.execute
338705,Unguarded read,Medium,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/apache/tools/ant/types/AbstractFileSet.java,AbstractFileSet.setRefid
338706,Value not atomically updated,Medium,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/apache/tools/ant/taskdefs/optional/ejb/WeblogicDeploymentTool.java,WeblogicDeploymentTool.addVendorFiles
338707,Insecure random value used in security context,Medium,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Insecure random category,/src/main/org/apache/tools/ant/taskdefs/SignJar.java,SignJar.execute
338708,Unguarded read,Medium,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/apache/tools/ant/DirectoryScanner.java,DirectoryScanner.accountForIncludedFile
338709,Explicit null dereferenced,Medium,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/main/org/apache/tools/ant/taskdefs/optional/depend/AntAnalyzer.java,AntAnalyzer.determineDependencies
338710,NS: Suspicious use of non-short-circuit boolean operator,Low,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Dodgy code,/src/main/org/apache/tools/zip/ZipOutputStream.java,ZipOutputStream.setEncoding
338711,Unguarded read,Medium,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/apache/tools/ant/types/AbstractFileSet.java,AbstractFileSet.setRefid
338712,Unguarded read,Medium,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/apache/tools/ant/types/resources/Files.java,Files.Files
338713,Insecure random value used in security context,Medium,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Insecure random category,/src/main/org/apache/tools/ant/taskdefs/XSLTProcess.java,XSLTProcess.process
338714,Resource leak on an exceptional path,Low,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/src/main/org/apache/tools/ant/taskdefs/optional/jlink/jlink.java,jlink.calcChecksum
338715,Resource leak on an exceptional path,Low,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/src/main/org/apache/tools/ant/types/selectors/modifiedselector/PropertiesfileCache.java,PropertiesfileCache.load
338716,RV: Bad use of return value,Low,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/src/main/org/apache/tools/ant/taskdefs/optional/depend/Depend.java,Depend.execute
338717,UI: Unsafe inheritance,Low,New,04/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/src/main/org/apache/tools/ant/taskdefs/optional/ejb/DescriptorHandler.java,DescriptorHandler.registerDTD
