CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
195888,Resource leak on an exceptional path,Low,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/src/org/lnicholls/galleon/util/FileList.java,FileList.set
195887,Logically dead code,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/src/org/lnicholls/galleon/apps/movies/Movies.java,Movies$MovieScreen.updateView
195886,Bad choice of lock object,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Unreliable locking behavior,/src/org/lnicholls/galleon/togo/Rule.java,Rule.toString
195885,Explicit null dereferenced,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/org/lnicholls/galleon/apps/music/Music.java,Music$LyricsScreen.updateLyrics
195884,Unchecked return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Error handling issues,/src/org/lnicholls/galleon/winamp/BMPLoader.java,BMPLoader.getPixelData
195883,Result is not floating-point,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/src/org/lnicholls/galleon/apps/iTunes/iTunes.java,iTunes$ImagesScreen.iTunes$ImagesScreen
195882,Bad choice of lock object,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Unreliable locking behavior,/src/org/lnicholls/galleon/server/TiVo.java,TiVo.toString
195881,Explicit null dereferenced,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java,MusicOrganizer.getItems
195880,Ignoring number of bytes read,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Error handling issues,/src/org/lnicholls/galleon/util/Tools.java,Tools.getResourceAsImage
195879,Resource leak,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/src/org/lnicholls/galleon/util/Tools.java,Tools.ImageIORead
195878,Bad choice of lock object,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Unreliable locking behavior,/src/org/lnicholls/galleon/goback/VideoServer.java,VideoServer.getContainer
195877,Bad choice of lock object,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Unreliable locking behavior,/src/org/lnicholls/galleon/util/NetInfo.java,NetInfo.runConsoleCommand
195876,Resource leak,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/src/org/lnicholls/galleon/widget/LabelText.java,LabelText.LabelText
195875,Missing break in switch,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/src/org/lnicholls/galleon/apps/shoutcast/Shoutcast.java,Shoutcast$PathScreen.handleKeyPress
195874,Explicit null dereferenced,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/org/lnicholls/galleon/apps/jukebox/Jukebox.java,Jukebox$LyricsScreen.updateLyrics
195873,Resource leak,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/src/org/lnicholls/galleon/util/FileList.java,FileList.getIndex
195872,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/org/lnicholls/galleon/widget/DefaultApplication.java,DefaultApplication.getTrackerString
195871,Bad choice of lock object,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Unreliable locking behavior,/src/org/lnicholls/galleon/util/IMDB.java,IMDB.cleanSpaces
195870,Bad choice of lock object,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Unreliable locking behavior,/src/org/lnicholls/galleon/data/Users.java,Users.updateApplications
195869,Bad choice of lock object,High,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Unreliable locking behavior,/src/org/lnicholls/galleon/util/Configurator.java,Configurator.save
