CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
197994,Missing call to superclass,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/chart/axis/NumberAxis3D.java,NumberAxis3D.draw
197993,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/chart/renderer/category/StackedBarRenderer.java,StackedBarRenderer.calculateBarWidth
197992,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer.java,XYBoxAndWhiskerRenderer.drawHorizontalItem
197991,Explicit null dereferenced,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/chart/axis/ColorBar.java,ColorBar.draw
197990,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/chart/plot/dial/DialPointer.java,DialPointer$Pointer.draw
197989,Dereference after null check,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/data/jdbc/JDBCXYDataset.java,JDBCXYDataset.executeQuery
197988,Dereference before null check,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/chart/needle/WindNeedle.java,WindNeedle.drawNeedle
197987,Explicit null dereferenced,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,AbstractXYItemRenderer.calculateRangeMarkerTextAnchorPoint
197986,Dereference before null check,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/chart/plot/ThermometerPlot.java,ThermometerPlot.draw
197985,Division or modulo by float zero,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/data/statistics/Statistics.java,Statistics.getSlope
197984,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/chart/plot/CategoryPlot.java,CategoryPlot.drawDomainCrosshair
197983,Useless call,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/data/contour/NonGridContourDataset.java,NonGridContourDataset.buildGrid
197982,Dereference null return value,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/chart/JFreeChart.java,JFreeChartInfo.getLogo
197981,Dereference after null check,Medium,New,03/30/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/duda/Desktop/Savanna/Work_Folder/Cloned_Git_Repos/jfreechart-1.0.13/source/org/jfree/chart/plot/WaferMapPlot.java,WaferMapPlot.drawChipGrid
