CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
198624,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/source/net/sf/jmoney/gui/AboutDialog.java,AboutDialog.jbInit
198623,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/source/net/sf/jmoney/io/MT940.java,MT940.importTransaction
198622,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/source/net/sf/jmoney/io/QIF.java,QIF.exportAccount
198621,Explicit null dereferenced,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/source/net/sf/jmoney/io/MT940.java,MT940.importTransaction
198620,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/source/net/sf/jmoney/gui/MainFrame.java,MainFrame.readSession
198619,SIC: Inner class could be made static,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Performance,/source/net/sf/jmoney/gui/MainFrame.java,
198618,Explicit null dereferenced,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/source/net/sf/jmoney/VerySimpleDateFormat.java,VerySimpleDateFormat.parse
198617,SIC: Inner class could be made static,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Performance,/source/net/sf/jmoney/io/MT940.java,
198616,SIC: Inner class could be made static,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Performance,/source/net/sf/jmoney/gui/CategoryComboBox.java,
198615,Eq: Problems with implementation of equals(),Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/source/net/sf/jmoney/gui/AccountBalancesReportPanel.java,AccountBalancesReportPanel$Item.compareTo
198614,Ignoring number of bytes read,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Error handling issues,/source/net/sf/jmoney/gui/AboutDialog.java,AboutDialog.jbInit
198613,UrF: Unread field,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Performance,/source/net/sf/jmoney/io/MT940.java,
198612,Se: Incorrect definition of Serializable class,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/source/net/sf/jmoney/EntryComparator.java,
