CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
200062,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/nbbuild/antsrc/org/netbeans/nbbuild/Arch.java,Arch.generateMissingQuestions
200061,Explicit null dereferenced,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/nbbuild/antsrc/org/netbeans/nbbuild/ModuleStateSelector.java,ModuleStateSelector.checkSelected
200060,Ignoring number of bytes read,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Error handling issues,/nbbuild/antsrc/org/netbeans/nbbuild/CopyIcons.java,CopyIcons.isPNG
200059,DLS: Dead local store,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Dodgy code,/nbbuild/antsrc/org/netbeans/nbbuild/AutoUpdateCatalogParser.java,AutoUpdateCatalogParser$ModuleDescriptor.appendModuleAttributes
200058,Resource leak on an exceptional path,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/nbbuild/antsrc/org/netbeans/nbbuild/MakeUpdateDesc.java,MakeUpdateDesc.execute
200057,RV: Bad use of return value,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/nbbuild/antsrc/org/netbeans/nbbuild/extlibs/DownloadBinaries.java,DownloadBinaries.execute
200056,Explicit null dereferenced,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/nbbuild/antsrc/org/netbeans/nbbuild/CopyIcons.java,CopyIcons.readImageInfo
200055,Resource leak on an exceptional path,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/nbbuild/antsrc/org/netbeans/nbbuild/ModuleDependencies.java,ModuleDependencies.generateDependencies
200054,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/nbbuild/antsrc/org/netbeans/nbbuild/DeleteUnreferencedClusterFiles.java,DeleteUnreferencedClusterFiles.scanForExtraFiles
200053,Resource leak,High,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/nbbuild/antsrc/org/netbeans/nbbuild/CheckBundles.java,CheckBundles.entries
200052,Dereference before null check,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/nbbuild/antsrc/org/netbeans/nbbuild/CreateModuleXML.java,CreateModuleXML.processModule
200051,Explicit null dereferenced,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/nbbuild/antsrc/org/netbeans/nbbuild/CheckLinks.java,CheckLinks.scan
200050,Resource leak on an exceptional path,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/nbbuild/antsrc/org/netbeans/nbbuild/MakeLNBM.java,MakeLNBM.writeLocBundleAttrs
200049,REC: RuntimeException capture,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Dodgy code,/nbbuild/antsrc/org/netbeans/nbbuild/CheckBundles.java,CheckBundles.parseManifest
200048,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/nbbuild/antsrc/org/netbeans/nbbuild/CheckHelpSetsBin.java,CheckHelpSetsBin.createGlobalClassLoader
