CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
200112,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/rules/ConstructorCallsOverridableMethod.java,ConstructorCallsOverridableMethod$MethodInvocation.getMethod
200111,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/rules/sunsecure/MethodReturnsInternalArray.java,MethodReturnsInternalArray.visit
200110,Explicit null dereferenced,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/ast/JavaParserTokenManager.java,JavaParserTokenManager.getNextToken
200109,Missing call to superclass,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/src/net/sourceforge/pmd/rules/strings/StringInstantiation.java,StringInstantiation.visit
200108,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/rules/AvoidFieldNameMatchingTypeName.java,AvoidFieldNameMatchingTypeName.visit
200107,Nesting level does not match indentation,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/src/net/sourceforge/pmd/cpd/cppast/CPPParserTokenManager.java,CPPParserTokenManager.getNextToken
200106,Explicit null dereferenced,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/cpd/MatchCollector.java,MatchCollector.getMatches
200105,Dereference after null check,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/rules/strings/InsufficientStringBufferDeclaration.java,InsufficientStringBufferDeclaration.getConstructorLength
200104,Dereference before null check,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/renderers/XSLTRenderer.java,XSLTRenderer.XSLTRenderer
200103,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/rules/strings/InsufficientStringBufferDeclaration.java,InsufficientStringBufferDeclaration.getInitialLength
200102,Missing call to superclass,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/src/net/sourceforge/pmd/rules/junit/TestClassWithoutTestCases.java,TestClassWithoutTestCases.visit
200101,Missing call to superclass,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/src/net/sourceforge/pmd/symboltable/ScopeAndDeclarationFinder.java,ScopeAndDeclarationFinder.visit
200100,Missing call to superclass,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/src/net/sourceforge/pmd/rules/design/NpathComplexity.java,NpathComplexity.visit
200099,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/util/filter/Filters.java,Filters$4.filter
200098,Missing call to superclass,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/src/net/sourceforge/pmd/rules/sunsecure/ArrayIsStoredDirectly.java,ArrayIsStoredDirectly.visit
200097,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/util/designer/Designer.java,Designer$TreeWidget.getToolTipText
200096,Resource leak,High,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/src/net/sourceforge/pmd/RuleSetFactory.java,RuleSetFactory.getRegisteredRuleSets
200095,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/rules/ConstructorCallsOverridableMethod.java,ConstructorCallsOverridableMethod.visit
200094,Missing call to superclass,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/src/net/sourceforge/pmd/rules/MoreThanOneLogger.java,MoreThanOneLogger.visit
200093,Missing call to superclass,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/src/net/sourceforge/pmd/rules/design/NpathComplexity.java,NpathComplexity.visit
200092,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/rules/AccessorClassGeneration.java,AccessorClassGeneration.visit
200091,Explicit null dereferenced,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/dfa/Linker.java,Linker.computeFor
200090,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/rules/sunsecure/ArrayIsStoredDirectly.java,ArrayIsStoredDirectly.checkForDirectAssignment
200089,Missing call to superclass,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Class hierarchy inconsistencies,/src/net/sourceforge/pmd/rules/CouplingBetweenObjects.java,CouplingBetweenObjects.visit
200088,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/rules/strings/ConsecutiveLiteralAppends.java,ConsecutiveLiteralAppends.visit
200087,Dereference after null check,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/typeresolution/ClassTypeResolver.java,ClassTypeResolver.visit
200086,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/net/sourceforge/pmd/rules/design/SingularField.java,SingularField.visit
