CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
200989,USELESS_STRING: Useless/non-informative string generated,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Correctness,/src/main/org/quickserver/swing/SensitiveInput.java,SensitiveInput.main
200988,LI: Unsynchronized Lazy Initialization,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Multithreaded correctness,/src/main/org/quickserver/net/qsadmin/QSAdminShell.java,QSAdminShell.getInstance
200987,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Performance,/src/main/org/quickserver/util/MyString.java,MyString.getSystemInfo
200986,Unguarded read,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/quickserver/util/io/ByteBufferOutputStream.java,ByteBufferOutputStream.isDataAvailableForWrite
200985,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/net/server/impl/BasicClientHandler.java,BasicClientHandler.getBufferedWriter
200984,Resource leak on an exceptional path,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/src/main/org/quickserver/net/server/QuickServer.java,QuickServer.stopServer
200983,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/net/qsadmin/Authenticator.java,Authenticator.validate
200982,NN: Naked notify,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Multithreaded correctness,/src/main/org/quickserver/swing/SensitiveInput.java,SensitiveInput.loadPassword
200981,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/net/qsadmin/QSAdminShell.java,QSAdminShell.QSAdminShell
200980,Unguarded read,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/quickserver/util/io/ByteBufferOutputStream.java,ByteBufferOutputStream.isDataAvailableForWrite
200979,Volatile not atomically updated,High,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/quickserver/net/server/impl/NonBlockingClientHandler.java,NonBlockingClientHandler.returnThread
200978,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/main/org/quickserver/net/qsadmin/QSAdminShell.java,QSAdminShell.connect
200977,REC: RuntimeException capture,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Dodgy code,/src/main/org/quickserver/net/qsadmin/gui/SimpleCommandSet.java,SimpleCommandSet.getSimpleCommands
200976,Information exposure to log file,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Low impact security,/src/main/org/quickserver/net/qsadmin/gui/QSAdminMain.java,QSAdminMain.sendCommunicationSilent
200975,Information exposure to log file,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Low impact security,/src/main/org/quickserver/net/qsadmin/gui/QSAdminMain.java,QSAdminMain.doLogin
200974,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/net/qsadmin/Authenticator.java,Authenticator.handleAuthentication
200973,Unguarded read,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/quickserver/util/io/ByteBufferOutputStream.java,ByteBufferOutputStream.flush
200972,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/src/main/org/quickserver/net/qsadmin/gui/QSAdminGUI.java,QSAdminGUI$4.actionPerformed
200971,Unguarded read,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/quickserver/util/io/ByteBufferInputStream.java,ByteBufferInputStream.dumpContent
200970,Resource leak on an exceptional path,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks,/src/main/org/quickserver/net/server/QuickServer.java,QuickServer.stopServer
200969,Indefinite wait,High,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/src/main/org/quickserver/util/pool/thread/ClientThread.java,ClientThread.run
200968,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/util/TextFile.java,TextFile.read
200967,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/net/qsadmin/QSAdminAPI.java,QSAdminAPI.logon
200966,Check of thread-shared field evades lock acquisition,High,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Data race undermines locking,/src/main/org/quickserver/net/server/impl/NonBlockingClientHandler.java,NonBlockingClientHandler.closeConnection
200965,WMI: Inefficient Map Iterator,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Performance,/src/main/org/quickserver/util/xmlreader/ConfigReader.java,ConfigReader.loadMissingApplicationConfiguration
200964,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/main/org/quickserver/net/qsadmin/QSAdminAPI.java,QSAdminAPI.logon
200963,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/net/qsadmin/gui/QSAdminMain.java,QSAdminMain.doLogin
200962,Bad choice of lock object,High,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Unreliable locking behavior,/src/main/org/quickserver/util/io/ByteBufferOutputStream.java,ByteBufferOutputStream.forceNotify
200961,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/util/TextFile.java,TextFile.write
200960,Check of thread-shared field evades lock acquisition,High,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Data race undermines locking,/src/main/org/quickserver/util/io/ByteBufferOutputStream.java,ByteBufferOutputStream.forceNotify
200959,Indefinite wait,High,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/src/main/org/quickserver/swing/SensitiveInput.java,SensitiveInput.getInput
200958,DLS: Dead local store,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Dodgy code,/src/main/org/quickserver/net/server/impl/SyncClientIdentifier.java,SyncClientIdentifier.findAllClientByKey
200957,Logically dead code,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/src/main/org/quickserver/net/qsadmin/QSAdminShell.java,QSAdminShell.run
200956,FI: Incorrect use of finalizers,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/src/main/org/quickserver/net/server/impl/BasicClientHandler.java,BasicClientHandler.finalize
200955,Data race condition,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/quickserver/util/io/ByteBufferInputStream.java,ByteBufferInputStream.read
200954,UrF: Unread field,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Performance,/src/main/org/quickserver/net/client/BlockingClient.java,
200953,UuF: Unused field,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Performance,/src/main/org/quickserver/util/logging/SimpleJDKLoggingHook.java,
200952,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/util/TextFile.java,TextFile.read
200951,UrF: Unread field,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Performance,/src/main/org/quickserver/net/server/AuthStatus.java,
200950,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/net/server/impl/BasicClientHandler.java,BasicClientHandler.BasicClientHandler
200949,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/net/client/BlockingClient.java,BlockingClient.checkBufferedReader
200948,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/net/qsadmin/gui/CmdConsole.java,CmdConsole.writeFile
200947,Dereference null return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/main/org/quickserver/swing/SensitiveInput.java,SensitiveInput.<instance_field_initializations>
200946,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/net/qsadmin/QSAdminShell.java,QSAdminShell.sendCommand
200945,Unguarded read,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/quickserver/util/pool/thread/ClientPool.java,ClientPool.isClientAvailable
200944,Bad choice of lock object,High,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Unreliable locking behavior,/src/main/org/quickserver/util/io/ByteBufferOutputStream.java,ByteBufferOutputStream.writeAllByteBuffer
200943,SnVI: Serializable class with no Version ID,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/src/main/org/quickserver/net/server/QuickServer.java,
200942,Copy-paste error,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/src/main/org/quickserver/net/server/impl/BlockingClientHandler.java,BlockingClientHandler.closeConnection
200941,Data race condition,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/quickserver/util/io/ByteBufferInputStream.java,ByteBufferInputStream.read
200940,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Internationalization,/src/main/org/quickserver/net/qsadmin/QSAdminShell.java,QSAdminShell.connect
200939,Explicit null dereferenced,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/src/main/org/quickserver/net/qsadmin/CommandHandler.java,CommandHandler.handleCommand
200938,DE: Dropped or ignored exception,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/src/main/org/quickserver/net/qsadmin/QSAdminShell.java,QSAdminShell.connect
200937,Dm: Dubious method used,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/src/main/org/quickserver/net/qsadmin/CommandHandler.java,CommandHandler.handleCommand
200936,UrF: Unread field,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Performance,/src/main/org/quickserver/net/server/GhostSocketReaper.java,
200935,Unchecked return value,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Error handling issues,/src/main/org/quickserver/net/server/QuickServer.java,QuickServer.stopServer
200934,RV: Bad use of return value,Low,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,FindBugs: Bad practice,/src/main/org/quickserver/util/logging/SimpleJDKLoggingHook.java,SimpleJDKLoggingHook.handleInit
200933,Unguarded read,Medium,New,03/31/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/src/main/org/quickserver/util/io/ByteBufferOutputStream.java,ByteBufferOutputStream.flush
