,BetterCodeHub,Class,CoverityScan,SonarQube,endLines,startLines
0,['WRITE_SHORT_UNITS'],$block1,[],[],[139.0],[74.0]
1,"['WRITE_SHORT_UNITS', 'WRITE_SIMPLE_UNITS']",AVLNode,[],[],"[582.0, 582.0]","[533.0, 533.0]"
2,[],AbstractBagDecorator,[],['common-java:DuplicatedBlocks'],[nan],[nan]
3,[],AbstractBidiMapDecorator,[],['common-java:DuplicatedBlocks'],[nan],[nan]
4,[],AbstractBufferDecorator,[],['common-java:DuplicatedBlocks'],[nan],[nan]
5,['SEPARATE_CONCERNS_IN_MODULES'],AbstractCollectionDecorator,[],['common-java:DuplicatedBlocks'],"[146.0, nan]","[1.0, nan]"
6,"['WRITE_CODE_ONCE', 'SEPARATE_CONCERNS_IN_MODULES']",AbstractDualBidiMap,[],"['squid:ModifiersOrderCheck', 'squid:ModifiersOrderCheck', 'squid:S1192', 'squid:MissingDeprecatedCheck', 'squid:S1488', 'squid:S1125', 'squid:S1133', 'code_smells:complex_class', 'squid:S1125', 'squid:S1125', 'code_smells:long_parameter_list', 'squid:S1125', 'squid:S1125', 'squid:S1125', 'common-java:DuplicatedBlocks']","[711.0, 332.0, 51.0, 450.0, 726.0, 127.0, 635.0, 374.0, 127.0, 1.0, 675.0, 598.0, 1.0, 449.0, 522.0, 552.0, nan]","[686.0, 332.0, 51.0, 450.0, 1.0, 127.0, 635.0, 374.0, 127.0, 1.0, 675.0, 598.0, 1.0, 449.0, 522.0, 552.0, nan]"
7,['AUTOMATE_TESTS'],AbstractEmptyIterator,[],"['squid:S1192', 'common-java:DuplicatedBlocks']","[90.0, 43.0, nan]","[1.0, 43.0, nan]"
8,"['WRITE_SIMPLE_UNITS', 'SEPARATE_CONCERNS_IN_MODULES', 'WRITE_CODE_ONCE', 'SMALL_UNIT_INTERFACES']",AbstractHashedMap,[],"['squid:S1166', 'squid:S1161', 'squid:S1161', 'squid:S1197', 'squid:S1161', 'squid:S1161', 'squid:S1197', 'squid:S1166', 'squid:S2272', 'squid:S2272', 'squid:S134', 'squid:S1125', 'squid:S1125', 'squid:S1149', 'squid:S1125', 'squid:S1125', 'squid:S2272', 'squid:S1161', 'squid:S2272', 'squid:HiddenFieldCheck', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:HiddenFieldCheck', 'squid:HiddenFieldCheck', 'squid:S134', 'squid:S1125', 'squid:S1161', 'squid:S1125', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1186', 'squid:S1161', 'squid:S2160', 'code_smells:long_parameter_list', 'squid:S2160', 'code_smells:complex_class', 'squid:ModifiersOrderCheck', 'squid:S1166', 'squid:S1161', 'common-java:DuplicatedBlocks', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'code_smells:long_method', 'squid:S1161']","[1283.0, 1240.0, 180.0, 218.0, 611.0, 270.0, 207.0, 1329.0, 610.0, 1279.0, 1008.0, 860.0, 252.0, 834.0, 837.0, 1308.0, 1255.0, 1272.0, 747.0, 772.0, 316.0, 937.0, 340.0, 242.0, 618.0, 1272.0, 1098.0, 1207.0, 1268.0, 1268.0, 1304.0, 1058.0, 150.0, 219.0, 317.0, 181.0, 271.0, 432.0, 170.0, 1227.0, 807.0, 1.0, 896.0, 1.0, 1080.0, 1277.0, 198.0, nan, 297.0, 873.0, 950.0, 986.0, 990.0, 1135.0, 237.0, 1290.0, 937.0, 1251.0, 1.0, 338.0, 475.0]","[1251.0, 1240.0, 180.0, 218.0, 611.0, 270.0, 207.0, 1.0, 610.0, 1279.0, 1008.0, 860.0, 252.0, 834.0, 837.0, 1308.0, 1255.0, 1272.0, 747.0, 751.0, 316.0, 937.0, 340.0, 242.0, 618.0, 1272.0, 1098.0, 1207.0, 1268.0, 1268.0, 1304.0, 1058.0, 150.0, 219.0, 317.0, 181.0, 271.0, 432.0, 170.0, 1227.0, 807.0, 1.0, 896.0, 1.0, 1080.0, 1277.0, 198.0, nan, 297.0, 873.0, 950.0, 986.0, 990.0, 1135.0, 237.0, 1290.0, 937.0, 1251.0, 1.0, 338.0, 470.0]"
9,['AUTOMATE_TESTS'],AbstractInputCheckedMapDecorator,[],"['common-java:DuplicatedBlocks', 'squid:S1197', 'squid:S1226']","[nan, 133.0, 192.0, 197.0]","[nan, 133.0, 192.0, 1.0]"
10,['SEPARATE_CONCERNS_IN_MODULES'],AbstractIteratorDecorator,[],"['squid:S1161', 'common-java:DuplicatedBlocks']","[74.0, 70.0, nan]","[1.0, 70.0, nan]"
11,['SEPARATE_CONCERNS_IN_MODULES'],AbstractKeyValue,[],['common-java:DuplicatedBlocks'],"[83.0, nan]","[1.0, nan]"
