,BetterCodeHub,Class,CoverityScan,SonarQube,endLines,startLines
0,['SEPARATE_CONCERNS_IN_MODULES'],AbstractActorXml,[],[],[60.0],[1.0]
1,[],AbstractXmlAction,[],"['squid:S00105', 'squid:ModifiersOrderCheck', 'code_smells:refused_parent_bequest']","[nan, 53.0, 1.0]","[nan, 53.0, 1.0]"
2,['SEPARATE_CONCERNS_IN_MODULES'],ActionFactory,['Value not atomically updated'],"['squid:CommentedOutCodeLine', 'code_smells:long_method', 'squid:S00105', 'squid:S1149', 'squid:S1149']","[172.0, 182.0, 1.0, nan, 44.0, 42.0, 0.0]","[172.0, 1.0, 1.0, nan, 44.0, 42.0, 0.0]"
3,[],ActionFilter,[],['squid:S00105'],[nan],[nan]
4,[],ActionHandler,[],['squid:S00105'],[nan],[nan]
5,[],ActionPair,[],['squid:S00105'],[nan],[nan]
6,[],ActorXml,[],['squid:S00105'],[nan],[nan]
7,[],AddArrowLinkAction,[],"['code_smells:long_method', 'code_smells:message_chains', 'squid:S1213']","[1.0, 1.0, 57.0]","[1.0, 1.0, 57.0]"
8,[],AddLocalLinkAction,[],"['squid:S00105', 'code_smells:message_chains']","[nan, 1.0]","[nan, 1.0]"
9,[],ApplyFormatPlugin,['Missing call to superclass'],['squid:S00105'],"[0.0, nan]","[0.0, nan]"
10,"['WRITE_SHORT_UNITS', 'WRITE_SIMPLE_UNITS', 'COUPLE_ARCHITECTURE_COMPONENTS_LOOSELY']",ApplyPatternAction,[],"['code_smells:complex_class', 'squid:S00105', 'squid:S1134', 'squid:S00108', 'squid:S134', 'squid:MethodCyclomaticComplexity', 'squid:S2130', 'squid:S134']","[175.0, 175.0, 1.0, 208.0, nan, 81.0, 89.0, 160.0, 65.0, 186.0, 97.0]","[65.0, 65.0, 1.0, 1.0, nan, 81.0, 89.0, 160.0, 65.0, 186.0, 97.0]"
11,[],ArrayListTransferHandler,[],"['squid:S1166', 'code_smells:long_method', 'squid:S00122', 'squid:S1319', 'squid:S134', 'squid:S00122', 'squid:S1161', 'squid:S1126', 'squid:S1066', 'squid:S1161', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S1126', 'squid:S1166', 'squid:S1161', 'squid:S1161', 'squid:S1166', 'squid:S1161']","[74.0, 1.0, 153.0, 184.0, 126.0, 169.0, 152.0, 153.0, 92.0, 58.0, 53.0, 72.0, 75.0, 201.0, 71.0, 117.0, 177.0, 52.0, 157.0]","[74.0, 1.0, 153.0, 184.0, 126.0, 169.0, 152.0, 153.0, 92.0, 58.0, 53.0, 72.0, 75.0, 201.0, 71.0, 117.0, 177.0, 52.0, 157.0]"
12,[],ArrowLinkAdapter,[],"['code_smells:refused_parent_bequest', 'squid:S1157', 'squid:S1132', 'squid:S1157', 'squid:S1157', 'squid:S1192', 'squid:S00105', 'squid:S1132', 'squid:S1132', 'squid:S106', 'code_smells:long_method', 'squid:S1157', 'squid:S106', 'squid:S1132']","[1.0, 73.0, 62.0, 62.0, 65.0, 43.0, nan, 76.0, 65.0, 70.0, 1.0, 76.0, 81.0, 73.0]","[1.0, 73.0, 62.0, 62.0, 65.0, 43.0, nan, 76.0, 65.0, 70.0, 1.0, 76.0, 81.0, 73.0]"
