,BetterCodeHub,Class,CoverityScan,SonarQube,endLines,startLines
0,[],ACLsManager,[],['squid:S1126'],[83.0],[83.0]
1,[],AbstractClusterStory,[],"['squid:S1226', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:S1226', 'code_smells:long_method', 'squid:S1226', 'squid:S1226', 'squid:S00117', 'squid:S00117']","[115.0, 173.0, 164.0, 169.0, 121.0, 1.0, 120.0, 110.0, 105.0, 104.0]","[115.0, 173.0, 164.0, 169.0, 121.0, 1.0, 120.0, 110.0, 105.0, 104.0]"
2,[],AbstractDaemonClient,[],"['squid:S00119', 'squid:S00122', 'squid:S1132', 'squid:S00122', 'squid:S00122', 'squid:S1149', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'code_smells:complex_class', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S134', 'squid:S134', 'squid:S1213', 'squid:S1226']","[43.0, 171.0, 176.0, 193.0, 488.0, 504.0, 192.0, 63.0, 1.0, 403.0, 404.0, 405.0, 322.0, 528.0, 504.0, 465.0]","[43.0, 171.0, 176.0, 193.0, 488.0, 504.0, 192.0, 63.0, 1.0, 403.0, 404.0, 405.0, 322.0, 528.0, 504.0, 465.0]"
3,[],AbstractDaemonCluster,[],"['squid:EmptyStatementUsageCheck', 'squid:S2274', 'squid:S1192', 'squid:EmptyStatementUsageCheck', 'squid:S00108', 'squid:ModifiersOrderCheck', 'squid:S1192', 'code_smells:complex_class', 'squid:UselessImportCheck', 'squid:S1481', 'squid:UselessImportCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:S1155', 'squid:S00112', 'squid:S1452', 'squid:S00112', 'squid:S00112', 'squid:S1149', 'squid:S00105', 'squid:S1155', 'squid:S1319', 'squid:S1166', 'squid:S1319', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1161', 'squid:S1161', 'squid:S1166', 'squid:S00117']","[524.0, 585.0, 324.0, 356.0, 170.0, 57.0, 223.0, 1.0, 25.0, 397.0, 24.0, 421.0, 348.0, 337.0, 128.0, 350.0, 233.0, 395.0, nan, 323.0, 395.0, 167.0, 311.0, 569.0, 607.0, 630.0, 599.0, 622.0, 549.0, 158.0]","[524.0, 585.0, 324.0, 356.0, 170.0, 57.0, 223.0, 1.0, 25.0, 397.0, 24.0, 421.0, 348.0, 337.0, 128.0, 350.0, 233.0, 395.0, nan, 323.0, 395.0, 167.0, 311.0, 569.0, 607.0, 630.0, 599.0, 622.0, 549.0, 158.0]"
4,[],AbstractDelegationTokenIdentifier,[],"['squid:S00105', 'squid:S00112', 'squid:S1067', 'squid:CommentedOutCodeLine']","[nan, 65.0, 152.0, 21.0]","[nan, 65.0, 146.0, 21.0]"
5,[],AbstractDelegationTokenSecretManager$ExpiredTokenRemover,['Check of thread-shared field evades lock acquisition'],[],[0.0],[0.0]
6,[],AbstractDelegationTokenSecretManager,['Unguarded write'],"['squid:S1192', 'squid:S1147', 'squid:S1161', 'squid:S1181', 'squid:S00119', 'squid:S1141', 'code_smells:complex_class', 'squid:S134', 'squid:S134', 'squid:S1141', 'squid:CommentedOutCodeLine', 'code_smells:long_method']","[0.0, 209.0, 413.0, 376.0, 410.0, 47.0, 386.0, 1.0, 385.0, 398.0, 404.0, 21.0, 1.0]","[0.0, 209.0, 413.0, 376.0, 410.0, 47.0, 386.0, 1.0, 385.0, 398.0, 404.0, 21.0, 1.0]"
7,[],AbstractDelegationTokenSelector,[],"['squid:CommentedOutCodeLine', 'squid:S00119', 'squid:CommentedOutCodeLine']","[23.0, 37.0, 28.0]","[23.0, 37.0, 28.0]"
8,[],AbstractGangliaSink,['Dm: Dubious method used'],"['squid:S00116', 'squid:S00116', 'squid:S00115', 'squid:MethodCyclomaticComplexity', 'squid:S1312', 'squid:S00115', 'squid:S1197', 'squid:S00115', 'squid:S1197', 'squid:S00115', 'squid:S00115', 'squid:S00115', 'code_smells:complex_class', 'common-java:DuplicatedBlocks', 'squid:EmptyStatementUsageCheck', 'squid:EmptyStatementUsageCheck', 'squid:S00115', 'squid:S00115']","[47.0, 86.0, 93.0, 167.0, 47.0, 92.0, 171.0, 102.0, 168.0, 102.0, 102.0, 102.0, 1.0, nan, 103.0, 96.0, 95.0, 94.0, 0.0]","[47.0, 86.0, 93.0, 167.0, 47.0, 92.0, 171.0, 102.0, 168.0, 102.0, 102.0, 102.0, 1.0, nan, 103.0, 96.0, 95.0, 94.0, 0.0]"
9,[],AbstractMapWritable,"['Resource leak on an exceptional path', 'Unguarded read']","['squid:S2153', 'squid:S2153', 'squid:S1213', 'common-java:DuplicatedBlocks', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S2153', 'squid:S1166', 'squid:S1166', 'squid:S2153']","[0.0, 0.0, 160.0, 131.0, 125.0, nan, 135.0, 137.0, 139.0, 141.0, 145.0, 147.0, 149.0, 149.0, 129.0, 153.0, 158.0, 143.0, 151.0, 133.0, 147.0, 151.0, 141.0, 153.0, 139.0, 137.0, 135.0, 143.0, 158.0, 160.0, 133.0, 131.0, 129.0, 203.0, 114.0, 145.0]","[0.0, 0.0, 160.0, 131.0, 125.0, nan, 135.0, 137.0, 139.0, 141.0, 145.0, 147.0, 149.0, 149.0, 129.0, 153.0, 158.0, 143.0, 151.0, 133.0, 147.0, 151.0, 141.0, 153.0, 139.0, 137.0, 135.0, 143.0, 158.0, 160.0, 133.0, 131.0, 129.0, 203.0, 114.0, 145.0]"
