,BetterCodeHub,Class,CoverityScan,SonarQube,endLines,startLines
0,[],AbbrevEditor,[],"['common-java:DuplicatedBlocks', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:ForLoopCounterChangedCheck', 'squid:S00105', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:MethodCyclomaticComplexity', 'squid:S1213', 'code_smells:complex_class', 'code_smells:long_method']","[nan, 94.0, 88.0, 225.0, 229.0, 213.0, 178.0, nan, 100.0, 207.0, 230.0, 30.0, 219.0, 156.0, 229.0, 103.0, 228.0, 1.0, 1.0]","[nan, 94.0, 88.0, 225.0, 229.0, 213.0, 178.0, nan, 100.0, 207.0, 230.0, 30.0, 219.0, 156.0, 229.0, 103.0, 228.0, 1.0, 1.0]"
1,['WRITE_CLEAN_CODE'],Abbrevs,['Resource leak on an exceptional path'],"['squid:S134', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S134', 'squid:CommentedOutCodeLine', 'squid:MethodCyclomaticComplexity', 'squid:S134', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S00108', 'squid:CommentedOutCodeLine', 'squid:S1149', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:S1149', 'squid:S1213', 'squid:S1149', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1149', 'code_smells:long_method', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S00117', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:S1166', 'squid:S00117', 'squid:S1213', 'squid:S1149', 'squid:S1149', 'squid:S1149', 'squid:CommentedOutCodeLine', 'squid:S1132', 'squid:S1149', 'squid:S1149', 'squid:S1213', 'squid:S1149', 'squid:CommentedOutCodeLine', 'squid:S00105', 'squid:S00112', 'squid:S1149', 'squid:S1149', 'squid:MethodCyclomaticComplexity', 'squid:S1319', 'squid:S1319', 'squid:ForLoopCounterChangedCheck', 'squid:CommentedOutCodeLine', 'squid:S1319', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S00112', 'squid:S1213', 'squid:S1319', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:S1213']","[439.0, 329.0, 396.0, 546.0, 586.0, 524.0, 566.0, 509.0, 62.0, 464.0, 491.0, 357.0, 202.0, 324.0, 592.0, 331.0, 325.0, 328.0, 400.0, 559.0, 511.0, 50.0, 419.0, 428.0, 1.0, 382.0, 315.0, 255.0, 422.0, 227.0, 321.0, 356.0, 467.0, 320.0, 235.0, 494.0, 408.0, 239.0, 439.0, 328.0, 270.0, 322.0, 221.0, 137.0, nan, 422.0, 196.0, 210.0, 73.0, 357.0, 210.0, 235.0, 568.0, 214.0, 221.0, 278.0, 102.0, 188.0, 145.0, 495.0, 325.0, 196.0, 31.0, 324.0, 158.0, 323.0, 0.0]","[439.0, 329.0, 396.0, 546.0, 586.0, 524.0, 566.0, 509.0, 62.0, 464.0, 491.0, 357.0, 202.0, 324.0, 592.0, 331.0, 325.0, 328.0, 400.0, 559.0, 511.0, 50.0, 419.0, 428.0, 1.0, 382.0, 315.0, 255.0, 422.0, 227.0, 321.0, 356.0, 467.0, 320.0, 235.0, 494.0, 408.0, 239.0, 439.0, 328.0, 270.0, 322.0, 221.0, 137.0, nan, 422.0, 196.0, 210.0, 73.0, 357.0, 210.0, 235.0, 568.0, 214.0, 221.0, 278.0, 102.0, 188.0, 145.0, 495.0, 325.0, 196.0, 31.0, 324.0, 158.0, 323.0, 0.0]"
2,[],AbbrevsOptionPane,[],"['squid:CommentedOutCodeLine', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1132', 'squid:S1149', 'code_smells:complex_class', 'code_smells:long_method', 'squid:SwitchLastCaseIsDefaultCheck', 'squid:S1301', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:S1226', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1700', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:S1319', 'squid:CommentedOutCodeLine', 'squid:S00117', 'squid:S1948', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S00105', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1149', 'squid:S1149', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine']","[245.0, 164.0, 165.0, 163.0, 162.0, 167.0, 161.0, 488.0, 314.0, 279.0, 385.0, 1.0, 1.0, 235.0, 235.0, 265.0, 168.0, 432.0, 442.0, 410.0, 382.0, 505.0, 368.0, 166.0, 501.0, 256.0, 398.0, 457.0, 501.0, 502.0, 375.0, 385.0, 360.0, 75.0, 342.0, 337.0, 227.0, 503.0, 52.0, 156.0, nan, 208.0, 507.0, 149.0, 387.0, 169.0, 136.0, 38.0, 177.0, 225.0, 404.0, 425.0]","[245.0, 164.0, 165.0, 163.0, 162.0, 167.0, 161.0, 488.0, 314.0, 279.0, 385.0, 1.0, 1.0, 235.0, 235.0, 265.0, 168.0, 432.0, 442.0, 410.0, 382.0, 505.0, 368.0, 166.0, 501.0, 256.0, 398.0, 457.0, 501.0, 502.0, 375.0, 385.0, 360.0, 75.0, 342.0, 337.0, 227.0, 503.0, 52.0, 156.0, nan, 208.0, 507.0, 149.0, 387.0, 169.0, 136.0, 38.0, 177.0, 225.0, 404.0, 425.0]"
3,[],AboutDialog$AboutPanel,['Missing call to superclass'],[],[0.0],[0.0]
4,[],AboutDialog,[],"['squid:S1948', 'squid:S1948', 'squid:S00105', 'squid:CommentedOutCodeLine', 'squid:S1149', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1161', 'squid:S00115', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S135', 'squid:S1948', 'squid:S00115']","[100.0, 101.0, nan, 34.0, 106.0, 81.0, 321.0, 62.0, 116.0, 94.0, 87.0, 237.0, 108.0, 115.0]","[100.0, 101.0, nan, 34.0, 106.0, 81.0, 321.0, 62.0, 116.0, 94.0, 87.0, 237.0, 108.0, 115.0]"
5,[],AbstractContextOptionPane,[],"['squid:MethodCyclomaticComplexity', 'common-java:DuplicatedBlocks', 'squid:S1192', 'squid:S1213', 'squid:S1132', 'squid:S1132', 'squid:S00105', 'code_smells:long_method', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S135']","[219.0, nan, 294.0, 163.0, 185.0, 238.0, nan, 1.0, 162.0, 164.0, 168.0, 166.0, 167.0, 165.0, 165.0, 161.0, 182.0]","[219.0, nan, 294.0, 163.0, 185.0, 238.0, nan, 1.0, 162.0, 164.0, 168.0, 166.0, 167.0, 165.0, 165.0, 161.0, 182.0]"
6,[],AbstractInputHandler,"['Value not atomically updated', 'Value not atomically updated', 'Value not atomically updated']","['squid:S1319', 'squid:CommentedOutCodeLine', 'squid:S1149', 'squid:S1149', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:S1213', 'squid:S1149', 'squid:S1149', 'squid:S1149', 'squid:S1149', 'squid:S1444', 'squid:S1149', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1319', 'squid:S00105', 'squid:CommentedOutCodeLine', 'squid:S134', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:CommentedOutCodeLine', 'code_smells:complex_class', 'squid:ClassVariableVisibilityCheck', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'code_smells:class_data_private', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1149', 'code_smells:antisingleton', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:CommentedOutCodeLine']","[0.0, 0.0, 295.0, 260.0, 149.0, 295.0, 242.0, 425.0, 421.0, 105.0, 289.0, 200.0, 129.0, 421.0, 426.0, 75.0, 427.0, 139.0, 289.0, nan, 323.0, 215.0, 90.0, 180.0, 230.0, 426.0, 254.0, 1.0, 421.0, 309.0, 273.0, 292.0, 1.0, 59.0, 282.0, 298.0, 425.0, 1.0, 338.0, 383.0, 416.0, 422.0, 189.0, 0.0]","[0.0, 0.0, 295.0, 260.0, 149.0, 295.0, 242.0, 425.0, 421.0, 105.0, 289.0, 200.0, 129.0, 421.0, 426.0, 75.0, 427.0, 139.0, 289.0, nan, 323.0, 215.0, 90.0, 180.0, 230.0, 426.0, 254.0, 1.0, 421.0, 309.0, 273.0, 292.0, 1.0, 59.0, 282.0, 298.0, 425.0, 1.0, 338.0, 383.0, 416.0, 422.0, 189.0, 0.0]"
7,"['SEPARATE_CONCERNS_IN_MODULES', 'WRITE_CLEAN_CODE', 'WRITE_CLEAN_CODE', 'WRITE_CLEAN_CODE']",AbstractOptionPane,[],"['squid:CommentedOutCodeLine', 'squid:S1213', 'squid:S1213', 'squid:S00108', 'squid:S1166', 'squid:S00105', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:AssignmentInSubExpressionCheck', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1186', 'squid:S1166', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1186', 'squid:S00108', 'squid:S1166']","[162.0, 385.0, 395.0, 305.0, 416.0, 140.0, 141.0, 289.0, 305.0, nan, 75.0, 122.0, 97.0, 415.0, 29.0, 87.0, 147.0, 379.0, 194.0, 248.0, 314.0, 340.0, 74.0, 390.0, 334.0, 271.0, 410.0, 304.0, 414.0, 227.0, 411.0, 111.0, 179.0, 403.0, 289.0, 288.0]","[162.0, 385.0, 395.0, 305.0, 1.0, 140.0, 141.0, 289.0, 305.0, nan, 75.0, 122.0, 97.0, 415.0, 29.0, 87.0, 147.0, 379.0, 194.0, 248.0, 314.0, 340.0, 74.0, 390.0, 334.0, 271.0, 410.0, 304.0, 414.0, 227.0, 411.0, 111.0, 179.0, 403.0, 289.0, 288.0]"
8,[],ActionBar,[],"['squid:CommentedOutCodeLine', 'squid:S1186', 'squid:S134', 'squid:S1213', 'squid:S1213', 'squid:S1301', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:S1226', 'squid:CommentedOutCodeLine', 'squid:MethodCyclomaticComplexity', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S134', 'squid:S1226', 'squid:SwitchLastCaseIsDefaultCheck', 'squid:MethodCyclomaticComplexity', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1067', 'squid:CommentedOutCodeLine', 'code_smells:complex_class', 'squid:S1213', 'code_smells:long_method', 'squid:AssignmentInSubExpressionCheck', 'squid:S1132', 'squid:CommentedOutCodeLine', 'squid:S00105', 'squid:CommentedOutCodeLine', 'squid:S1192', 'squid:CommentedOutCodeLine', 'squid:S1151', 'squid:S1151', 'squid:S1213', 'squid:S1213']","[34.0, 296.0, 124.0, 98.0, 100.0, 331.0, 79.0, 91.0, 286.0, 216.0, 297.0, 325.0, 487.0, 504.0, 560.0, 226.0, 262.0, 378.0, 327.0, 331.0, 104.0, 101.0, 96.0, 73.0, 211.0, 428.0, 494.0, 520.0, 563.0, 362.0, 260.0, 1.0, 99.0, 1.0, 54.0, 124.0, 293.0, nan, 87.0, 135.0, 276.0, 352.0, 333.0, 97.0, 95.0]","[34.0, 296.0, 124.0, 98.0, 100.0, 331.0, 79.0, 91.0, 286.0, 216.0, 297.0, 325.0, 487.0, 504.0, 560.0, 226.0, 262.0, 378.0, 327.0, 331.0, 104.0, 101.0, 96.0, 73.0, 211.0, 428.0, 494.0, 520.0, 563.0, 354.0, 260.0, 1.0, 99.0, 1.0, 54.0, 124.0, 293.0, nan, 87.0, 135.0, 276.0, 352.0, 333.0, 97.0, 95.0]"
9,[],ActionContext,[],"['squid:S00105', 'squid:S1185', 'squid:S1185', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine']","[nan, 52.0, 65.0, 68.0, 55.0]","[nan, 52.0, 65.0, 68.0, 55.0]"
